,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,822.425,FAST+SIFT
1,Small Village Dataset,668.8916666666667,FAST+SIFT
2,Small Village Dataset,651.175,FAST+SIFT
3,Small Village Dataset,535.0083333333333,FAST+SIFT
4,Small Village Dataset,587.0666666666667,FAST+SIFT
5,Small Village Dataset,818.9,FAST+SIFT
6,Small Village Dataset,1297.6,FAST+SIFT
7,Small Village Dataset,1050.6666666666667,FAST+SIFT
8,Small Village Dataset,684.0166666666667,FAST+SIFT
9,Small Village Dataset,548.3666666666667,FAST+SIFT
10,Small Village Dataset,572.3416666666667,FAST+SIFT
11,Small Village Dataset,673.9583333333334,FAST+SIFT
12,Small Village Dataset,837.0416666666666,FAST+SIFT
13,Small Village Dataset,1764.6916666666666,FAST+SIFT
14,Small Village Dataset,2644.0,FAST+SIFT
15,Small Village Dataset,1572.7166666666667,FAST+SIFT
16,Small Village Dataset,1121.1416666666667,FAST+SIFT
17,Small Village Dataset,746.5666666666667,FAST+SIFT
18,Small Village Dataset,693.0916666666667,FAST+SIFT
19,Small Village Dataset,601.0833333333334,FAST+SIFT
20,Small Village Dataset,906.65,FAST+SIFT
21,Small Village Dataset,1305.1583333333333,FAST+SIFT
22,Small Village Dataset,1832.75,FAST+SIFT
23,Small Village Dataset,1379.8,FAST+SIFT
24,Small Village Dataset,851.25,FAST+SIFT
25,Small Village Dataset,689.2666666666667,FAST+SIFT
26,Small Village Dataset,860.4416666666667,FAST+SIFT
27,Small Village Dataset,991.0333333333333,FAST+SIFT
28,Small Village Dataset,1475.1083333333333,FAST+SIFT
29,Small Village Dataset,1837.275,FAST+SIFT
30,Small Village Dataset,1813.925,FAST+SIFT
31,Small Village Dataset,1111.7416666666666,FAST+SIFT
32,Small Village Dataset,588.4916666666667,FAST+SIFT
33,Small Village Dataset,715.325,FAST+SIFT
34,Small Village Dataset,986.3166666666667,FAST+SIFT
35,Small Village Dataset,1294.9666666666667,FAST+SIFT
36,Small Village Dataset,1647.55,FAST+SIFT
37,Small Village Dataset,2243.05,FAST+SIFT
38,Small Village Dataset,1750.2833333333333,FAST+SIFT
39,Small Village Dataset,1394.6666666666667,FAST+SIFT
40,Small Village Dataset,844.6333333333333,FAST+SIFT
41,Small Village Dataset,662.3416666666667,FAST+SIFT
42,Small Village Dataset,913.3916666666667,FAST+SIFT
43,Small Village Dataset,1352.7583333333334,FAST+SIFT
44,Small Village Dataset,1803.9833333333333,FAST+SIFT
45,Small Village Dataset,2693.4666666666667,FAST+SIFT
46,Small Village Dataset,2104.766666666667,FAST+SIFT
47,Small Village Dataset,1559.8333333333333,FAST+SIFT
48,Small Village Dataset,1068.6833333333334,FAST+SIFT
49,Small Village Dataset,684.8083333333333,FAST+SIFT
50,Small Village Dataset,1474.65,FAST+SIFT
51,Small Village Dataset,1627.2666666666667,FAST+SIFT
52,Small Village Dataset,1985.0166666666667,FAST+SIFT
53,Small Village Dataset,2357.875,FAST+SIFT
54,Small Village Dataset,2460.391666666667,FAST+SIFT
55,Small Village Dataset,2074.7833333333333,FAST+SIFT
56,Small Village Dataset,1735.625,FAST+SIFT
57,Small Village Dataset,1301.8666666666666,FAST+SIFT
58,Small Village Dataset,912.7583333333333,FAST+SIFT
59,Small Village Dataset,2118.491666666667,FAST+SIFT
60,Small Village Dataset,2424.608333333333,FAST+SIFT
61,Small Village Dataset,1529.9083333333333,FAST+SIFT
62,Small Village Dataset,2007.175,FAST+SIFT
63,Small Village Dataset,1384.0333333333333,FAST+SIFT
64,Small Village Dataset,927.1333333333333,FAST+SIFT
65,Small Village Dataset,645.0,FAST+SIFT
