,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,522.97,SURF+SIFT
1,Small Village Dataset,541.56,SURF+SIFT
2,Small Village Dataset,606.32,SURF+SIFT
3,Small Village Dataset,659.44,SURF+SIFT
4,Small Village Dataset,668.14,SURF+SIFT
5,Small Village Dataset,609.8,SURF+SIFT
6,Small Village Dataset,567.37,SURF+SIFT
7,Small Village Dataset,552.23,SURF+SIFT
8,Small Village Dataset,489.75,SURF+SIFT
9,Small Village Dataset,524.85,SURF+SIFT
10,Small Village Dataset,487.03,SURF+SIFT
11,Small Village Dataset,522.84,SURF+SIFT
12,Small Village Dataset,605.09,SURF+SIFT
13,Small Village Dataset,511.32,SURF+SIFT
14,Small Village Dataset,486.13,SURF+SIFT
15,Small Village Dataset,463.51,SURF+SIFT
16,Small Village Dataset,561.68,SURF+SIFT
17,Small Village Dataset,510.15,SURF+SIFT
18,Small Village Dataset,581.36,SURF+SIFT
19,Small Village Dataset,571.01,SURF+SIFT
20,Small Village Dataset,626.39,SURF+SIFT
21,Small Village Dataset,562.33,SURF+SIFT
22,Small Village Dataset,485.49,SURF+SIFT
23,Small Village Dataset,506.89,SURF+SIFT
24,Small Village Dataset,486.42,SURF+SIFT
25,Small Village Dataset,488.06,SURF+SIFT
26,Small Village Dataset,556.23,SURF+SIFT
27,Small Village Dataset,693.29,SURF+SIFT
28,Small Village Dataset,587.44,SURF+SIFT
29,Small Village Dataset,502.88,SURF+SIFT
30,Small Village Dataset,418.18,SURF+SIFT
31,Small Village Dataset,419.03,SURF+SIFT
32,Small Village Dataset,554.6,SURF+SIFT
33,Small Village Dataset,554.21,SURF+SIFT
34,Small Village Dataset,590.34,SURF+SIFT
35,Small Village Dataset,676.58,SURF+SIFT
36,Small Village Dataset,628.38,SURF+SIFT
37,Small Village Dataset,629.52,SURF+SIFT
38,Small Village Dataset,575.02,SURF+SIFT
39,Small Village Dataset,484.35,SURF+SIFT
40,Small Village Dataset,520.33,SURF+SIFT
41,Small Village Dataset,520.89,SURF+SIFT
42,Small Village Dataset,606.53,SURF+SIFT
43,Small Village Dataset,691.72,SURF+SIFT
44,Small Village Dataset,664.77,SURF+SIFT
45,Small Village Dataset,597.51,SURF+SIFT
46,Small Village Dataset,556.48,SURF+SIFT
47,Small Village Dataset,513.13,SURF+SIFT
48,Small Village Dataset,534.55,SURF+SIFT
49,Small Village Dataset,637.27,SURF+SIFT
50,Small Village Dataset,664.24,SURF+SIFT
51,Small Village Dataset,533.1,SURF+SIFT
52,Small Village Dataset,479.02,SURF+SIFT
53,Small Village Dataset,490.58,SURF+SIFT
54,Small Village Dataset,504.77,SURF+SIFT
55,Small Village Dataset,462.26,SURF+SIFT
56,Small Village Dataset,502.1,SURF+SIFT
57,Small Village Dataset,483.78,SURF+SIFT
58,Small Village Dataset,520.79,SURF+SIFT
59,Small Village Dataset,522.81,SURF+SIFT
60,Small Village Dataset,558.66,SURF+SIFT
61,Small Village Dataset,632.32,SURF+SIFT
62,Small Village Dataset,644.0,SURF+SIFT
63,Small Village Dataset,620.37,SURF+SIFT
64,Small Village Dataset,629.02,SURF+SIFT
65,Small Village Dataset,593.99,SURF+SIFT
66,Small Village Dataset,555.84,SURF+SIFT
67,Small Village Dataset,531.07,SURF+SIFT
68,Small Village Dataset,477.06,SURF+SIFT
69,Small Village Dataset,391.21,SURF+SIFT
70,Small Village Dataset,324.02,SURF+SIFT
71,Small Village Dataset,350.91,SURF+SIFT
72,Small Village Dataset,445.34,SURF+SIFT
73,Small Village Dataset,485.29,SURF+SIFT
74,Small Village Dataset,493.07,SURF+SIFT
75,Small Village Dataset,481.8,SURF+SIFT
76,Small Village Dataset,526.33,SURF+SIFT
77,Small Village Dataset,583.57,SURF+SIFT
78,Small Village Dataset,559.59,SURF+SIFT
79,Small Village Dataset,588.66,SURF+SIFT
80,Small Village Dataset,566.0,SURF+SIFT
81,Small Village Dataset,631.21,SURF+SIFT
82,Small Village Dataset,529.37,SURF+SIFT
83,Small Village Dataset,467.6,SURF+SIFT
84,Small Village Dataset,412.83,SURF+SIFT
85,Small Village Dataset,302.48,SURF+SIFT
86,Small Village Dataset,182.87,SURF+SIFT
87,Small Village Dataset,235.16,SURF+SIFT
88,Small Village Dataset,414.18,SURF+SIFT
89,Small Village Dataset,514.07,SURF+SIFT
90,Small Village Dataset,510.97,SURF+SIFT
91,Small Village Dataset,495.95,SURF+SIFT
92,Small Village Dataset,530.2,SURF+SIFT
93,Small Village Dataset,528.19,SURF+SIFT
94,Small Village Dataset,620.26,SURF+SIFT
95,Small Village Dataset,589.32,SURF+SIFT
96,Small Village Dataset,570.21,SURF+SIFT
97,Small Village Dataset,583.86,SURF+SIFT
98,Small Village Dataset,544.9,SURF+SIFT
99,Small Village Dataset,474.78,SURF+SIFT
