,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,84.85,SUPERPOINT
1,Small Village Dataset,117.14166666666667,SUPERPOINT
2,Small Village Dataset,129.6,SUPERPOINT
3,Small Village Dataset,118.35833333333333,SUPERPOINT
4,Small Village Dataset,119.06666666666666,SUPERPOINT
5,Small Village Dataset,92.35833333333333,SUPERPOINT
6,Small Village Dataset,71.80833333333334,SUPERPOINT
7,Small Village Dataset,85.81666666666666,SUPERPOINT
8,Small Village Dataset,99.01666666666667,SUPERPOINT
9,Small Village Dataset,118.11666666666666,SUPERPOINT
10,Small Village Dataset,119.85833333333333,SUPERPOINT
11,Small Village Dataset,113.525,SUPERPOINT
12,Small Village Dataset,98.21666666666667,SUPERPOINT
13,Small Village Dataset,54.083333333333336,SUPERPOINT
14,Small Village Dataset,31.916666666666668,SUPERPOINT
15,Small Village Dataset,49.516666666666666,SUPERPOINT
16,Small Village Dataset,67.74166666666666,SUPERPOINT
17,Small Village Dataset,100.85,SUPERPOINT
18,Small Village Dataset,108.63333333333334,SUPERPOINT
19,Small Village Dataset,118.80833333333334,SUPERPOINT
20,Small Village Dataset,87.18333333333334,SUPERPOINT
21,Small Village Dataset,69.88333333333334,SUPERPOINT
22,Small Village Dataset,46.333333333333336,SUPERPOINT
23,Small Village Dataset,50.1,SUPERPOINT
24,Small Village Dataset,82.63333333333334,SUPERPOINT
25,Small Village Dataset,84.825,SUPERPOINT
26,Small Village Dataset,96.8,SUPERPOINT
27,Small Village Dataset,79.84166666666667,SUPERPOINT
28,Small Village Dataset,51.266666666666666,SUPERPOINT
29,Small Village Dataset,53.475,SUPERPOINT
30,Small Village Dataset,54.266666666666666,SUPERPOINT
31,Small Village Dataset,70.93333333333334,SUPERPOINT
32,Small Village Dataset,84.59166666666667,SUPERPOINT
33,Small Village Dataset,87.8,SUPERPOINT
34,Small Village Dataset,78.65,SUPERPOINT
35,Small Village Dataset,57.24166666666667,SUPERPOINT
36,Small Village Dataset,37.24166666666667,SUPERPOINT
37,Small Village Dataset,32.858333333333334,SUPERPOINT
38,Small Village Dataset,25.816666666666666,SUPERPOINT
39,Small Village Dataset,26.25,SUPERPOINT
40,Small Village Dataset,42.30833333333333,SUPERPOINT
41,Small Village Dataset,54.125,SUPERPOINT
42,Small Village Dataset,62.275,SUPERPOINT
43,Small Village Dataset,55.608333333333334,SUPERPOINT
44,Small Village Dataset,39.15,SUPERPOINT
45,Small Village Dataset,43.95,SUPERPOINT
46,Small Village Dataset,33.86666666666667,SUPERPOINT
47,Small Village Dataset,41.31666666666667,SUPERPOINT
48,Small Village Dataset,55.56666666666667,SUPERPOINT
49,Small Village Dataset,50.641666666666666,SUPERPOINT
50,Small Village Dataset,31.533333333333335,SUPERPOINT
51,Small Village Dataset,20.716666666666665,SUPERPOINT
52,Small Village Dataset,20.825,SUPERPOINT
53,Small Village Dataset,22.925,SUPERPOINT
54,Small Village Dataset,17.408333333333335,SUPERPOINT
55,Small Village Dataset,11.333333333333334,SUPERPOINT
56,Small Village Dataset,22.516666666666666,SUPERPOINT
57,Small Village Dataset,29.425,SUPERPOINT
58,Small Village Dataset,33.825,SUPERPOINT
59,Small Village Dataset,15.233333333333333,SUPERPOINT
60,Small Village Dataset,10.866666666666667,SUPERPOINT
61,Small Village Dataset,117.14166666666667,SUPERPOINT
62,Small Village Dataset,129.6,SUPERPOINT
63,Small Village Dataset,118.35833333333333,SUPERPOINT
64,Small Village Dataset,119.06666666666666,SUPERPOINT
65,Small Village Dataset,92.35833333333333,SUPERPOINT
66,Small Village Dataset,71.80833333333334,SUPERPOINT
