,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,36.575,SUPERPOINT
1,Small Village Dataset,53.61666666666667,SUPERPOINT
2,Small Village Dataset,58.40833333333333,SUPERPOINT
3,Small Village Dataset,54.9,SUPERPOINT
4,Small Village Dataset,53.333333333333336,SUPERPOINT
5,Small Village Dataset,37.25,SUPERPOINT
6,Small Village Dataset,28.325,SUPERPOINT
7,Small Village Dataset,36.28333333333333,SUPERPOINT
8,Small Village Dataset,45.75,SUPERPOINT
9,Small Village Dataset,58.233333333333334,SUPERPOINT
10,Small Village Dataset,60.18333333333333,SUPERPOINT
11,Small Village Dataset,54.55,SUPERPOINT
12,Small Village Dataset,44.81666666666667,SUPERPOINT
13,Small Village Dataset,21.85,SUPERPOINT
14,Small Village Dataset,8.391666666666667,SUPERPOINT
15,Small Village Dataset,20.391666666666666,SUPERPOINT
16,Small Village Dataset,30.183333333333334,SUPERPOINT
17,Small Village Dataset,46.93333333333333,SUPERPOINT
18,Small Village Dataset,51.541666666666664,SUPERPOINT
19,Small Village Dataset,57.425,SUPERPOINT
20,Small Village Dataset,41.475,SUPERPOINT
21,Small Village Dataset,31.341666666666665,SUPERPOINT
22,Small Village Dataset,22.325,SUPERPOINT
23,Small Village Dataset,22.858333333333334,SUPERPOINT
24,Small Village Dataset,38.80833333333333,SUPERPOINT
25,Small Village Dataset,41.59166666666667,SUPERPOINT
26,Small Village Dataset,44.325,SUPERPOINT
27,Small Village Dataset,37.28333333333333,SUPERPOINT
28,Small Village Dataset,19.808333333333334,SUPERPOINT
29,Small Village Dataset,18.658333333333335,SUPERPOINT
30,Small Village Dataset,20.308333333333334,SUPERPOINT
31,Small Village Dataset,30.958333333333332,SUPERPOINT
32,Small Village Dataset,39.95,SUPERPOINT
33,Small Village Dataset,42.50833333333333,SUPERPOINT
34,Small Village Dataset,38.291666666666664,SUPERPOINT
35,Small Village Dataset,26.583333333333332,SUPERPOINT
36,Small Village Dataset,18.175,SUPERPOINT
37,Small Village Dataset,15.85,SUPERPOINT
38,Small Village Dataset,13.183333333333334,SUPERPOINT
39,Small Village Dataset,12.5,SUPERPOINT
40,Small Village Dataset,21.283333333333335,SUPERPOINT
41,Small Village Dataset,25.483333333333334,SUPERPOINT
42,Small Village Dataset,27.908333333333335,SUPERPOINT
43,Small Village Dataset,24.091666666666665,SUPERPOINT
44,Small Village Dataset,13.15,SUPERPOINT
45,Small Village Dataset,11.891666666666667,SUPERPOINT
46,Small Village Dataset,11.758333333333333,SUPERPOINT
47,Small Village Dataset,18.425,SUPERPOINT
48,Small Village Dataset,25.025,SUPERPOINT
