,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,1220.5416666666667,SURF
1,Small Village Dataset,1155.1416666666667,SURF
2,Small Village Dataset,1189.3583333333333,SURF
3,Small Village Dataset,1097.175,SURF
4,Small Village Dataset,1141.5583333333334,SURF
5,Small Village Dataset,1087.1166666666666,SURF
6,Small Village Dataset,1211.3666666666666,SURF
7,Small Village Dataset,1149.15,SURF
8,Small Village Dataset,1144.8583333333333,SURF
9,Small Village Dataset,1182.425,SURF
10,Small Village Dataset,1129.2666666666667,SURF
11,Small Village Dataset,1144.075,SURF
12,Small Village Dataset,1234.9,SURF
13,Small Village Dataset,1298.6333333333334,SURF
14,Small Village Dataset,1310.9833333333333,SURF
15,Small Village Dataset,1202.7166666666667,SURF
16,Small Village Dataset,1237.325,SURF
17,Small Village Dataset,1192.25,SURF
18,Small Village Dataset,1103.125,SURF
19,Small Village Dataset,1165.7833333333333,SURF
20,Small Village Dataset,1126.525,SURF
21,Small Village Dataset,1188.4166666666667,SURF
22,Small Village Dataset,1311.45,SURF
23,Small Village Dataset,1290.525,SURF
24,Small Village Dataset,1256.7583333333334,SURF
25,Small Village Dataset,1171.3333333333333,SURF
26,Small Village Dataset,1255.4583333333333,SURF
27,Small Village Dataset,1118.95,SURF
28,Small Village Dataset,1176.1083333333333,SURF
29,Small Village Dataset,1129.6833333333334,SURF
30,Small Village Dataset,1322.4666666666667,SURF
31,Small Village Dataset,1233.1666666666667,SURF
32,Small Village Dataset,1108.6333333333334,SURF
33,Small Village Dataset,1227.5416666666667,SURF
34,Small Village Dataset,1280.65,SURF
35,Small Village Dataset,1346.9333333333334,SURF
36,Small Village Dataset,1290.975,SURF
37,Small Village Dataset,1475.3916666666667,SURF
38,Small Village Dataset,1402.85,SURF
39,Small Village Dataset,1367.3166666666666,SURF
40,Small Village Dataset,1269.6916666666666,SURF
41,Small Village Dataset,1221.7916666666667,SURF
42,Small Village Dataset,1337.4083333333333,SURF
43,Small Village Dataset,1236.2083333333333,SURF
44,Small Village Dataset,1207.7083333333333,SURF
45,Small Village Dataset,1275.025,SURF
46,Small Village Dataset,1284.325,SURF
47,Small Village Dataset,1388.1416666666667,SURF
48,Small Village Dataset,1346.0416666666667,SURF
49,Small Village Dataset,1281.475,SURF
50,Small Village Dataset,1471.8333333333333,SURF
51,Small Village Dataset,1412.275,SURF
52,Small Village Dataset,1441.3583333333333,SURF
53,Small Village Dataset,1465.2833333333333,SURF
54,Small Village Dataset,1557.0666666666666,SURF
55,Small Village Dataset,1542.9333333333334,SURF
56,Small Village Dataset,1492.725,SURF
57,Small Village Dataset,1341.4083333333333,SURF
58,Small Village Dataset,1239.6833333333334,SURF
59,Small Village Dataset,1412.75,SURF
60,Small Village Dataset,1339.9583333333333,SURF
61,Small Village Dataset,1329.1916666666666,SURF
62,Small Village Dataset,1303.5666666666666,SURF
63,Small Village Dataset,1224.3083333333334,SURF
64,Small Village Dataset,1333.6333333333334,SURF
65,Small Village Dataset,1265.4833333333333,SURF
66,Small Village Dataset,1212.8166666666666,SURF
67,Small Village Dataset,1180.7666666666667,SURF
68,Small Village Dataset,1075.5916666666667,SURF
69,Small Village Dataset,962.7666666666667,SURF
70,Small Village Dataset,948.675,SURF
71,Small Village Dataset,991.075,SURF
72,Small Village Dataset,1038.7416666666666,SURF
73,Small Village Dataset,1093.0916666666667,SURF
74,Small Village Dataset,1080.5916666666667,SURF
75,Small Village Dataset,1111.1416666666667,SURF
76,Small Village Dataset,1270.7333333333333,SURF
77,Small Village Dataset,1316.5166666666667,SURF
78,Small Village Dataset,1215.9583333333333,SURF
79,Small Village Dataset,1291.0416666666667,SURF
80,Small Village Dataset,1272.4,SURF
81,Small Village Dataset,1332.7,SURF
82,Small Village Dataset,1179.8916666666667,SURF
83,Small Village Dataset,1091.6166666666666,SURF
84,Small Village Dataset,1039.4,SURF
85,Small Village Dataset,903.2833333333333,SURF
86,Small Village Dataset,820.1,SURF
87,Small Village Dataset,852.8,SURF
88,Small Village Dataset,1048.225,SURF
89,Small Village Dataset,1158.325,SURF
90,Small Village Dataset,1098.8666666666666,SURF
91,Small Village Dataset,1146.1583333333333,SURF
92,Small Village Dataset,1330.6083333333333,SURF
93,Small Village Dataset,1303.0333333333333,SURF
94,Small Village Dataset,1374.0416666666667,SURF
95,Small Village Dataset,1295.5083333333334,SURF
96,Small Village Dataset,1266.725,SURF
97,Small Village Dataset,1210.1416666666667,SURF
98,Small Village Dataset,1164.1416666666667,SURF
99,Small Village Dataset,1077.5333333333333,SURF
100,Small Village Dataset,1036.8083333333334,SURF
101,Small Village Dataset,848.1916666666667,SURF
102,Small Village Dataset,494.39166666666665,SURF
103,Small Village Dataset,762.375,SURF
104,Small Village Dataset,992.8416666666667,SURF
105,Small Village Dataset,1219.125,SURF
106,Small Village Dataset,1127.225,SURF
107,Small Village Dataset,1272.9916666666666,SURF
108,Small Village Dataset,1368.1,SURF
109,Small Village Dataset,1228.8833333333334,SURF
110,Small Village Dataset,1294.4833333333333,SURF
111,Small Village Dataset,1334.6083333333333,SURF
112,Small Village Dataset,1348.275,SURF
113,Small Village Dataset,1238.6833333333334,SURF
114,Small Village Dataset,1215.6083333333333,SURF
115,Small Village Dataset,1117.525,SURF
116,Small Village Dataset,1022.95,SURF
117,Small Village Dataset,748.3,SURF
118,Small Village Dataset,697.525,SURF
119,Small Village Dataset,888.3583333333333,SURF
