,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel Quarry Dataset,223.68,MSER+SIFT
1,Gravel Quarry Dataset,227.89,MSER+SIFT
2,Gravel Quarry Dataset,219.84,MSER+SIFT
3,Gravel Quarry Dataset,258.89,MSER+SIFT
4,Gravel Quarry Dataset,237.3,MSER+SIFT
5,Gravel Quarry Dataset,213.12,MSER+SIFT
6,Gravel Quarry Dataset,197.89,MSER+SIFT
7,Gravel Quarry Dataset,212.06,MSER+SIFT
8,Gravel Quarry Dataset,197.09,MSER+SIFT
9,Gravel Quarry Dataset,191.59,MSER+SIFT
10,Gravel Quarry Dataset,201.53,MSER+SIFT
11,Gravel Quarry Dataset,195.21,MSER+SIFT
12,Gravel Quarry Dataset,225.36,MSER+SIFT
13,Gravel Quarry Dataset,229.53,MSER+SIFT
14,Gravel Quarry Dataset,255.28,MSER+SIFT
15,Gravel Quarry Dataset,235.37,MSER+SIFT
16,Gravel Quarry Dataset,275.89,MSER+SIFT
17,Gravel Quarry Dataset,261.97,MSER+SIFT
18,Gravel Quarry Dataset,237.28,MSER+SIFT
19,Gravel Quarry Dataset,210.97,MSER+SIFT
20,Gravel Quarry Dataset,221.94,MSER+SIFT
21,Gravel Quarry Dataset,189.58,MSER+SIFT
22,Gravel Quarry Dataset,209.22,MSER+SIFT
23,Gravel Quarry Dataset,217.84,MSER+SIFT
24,Gravel Quarry Dataset,237.29,MSER+SIFT
25,Gravel Quarry Dataset,249.78,MSER+SIFT
26,Gravel Quarry Dataset,260.64,MSER+SIFT
27,Gravel Quarry Dataset,275.32,MSER+SIFT
28,Gravel Quarry Dataset,238.84,MSER+SIFT
29,Gravel Quarry Dataset,270.88,MSER+SIFT
30,Gravel Quarry Dataset,275.06,MSER+SIFT
31,Gravel Quarry Dataset,275.91,MSER+SIFT
32,Gravel Quarry Dataset,267.21,MSER+SIFT
33,Gravel Quarry Dataset,257.17,MSER+SIFT
34,Gravel Quarry Dataset,241.41,MSER+SIFT
35,Gravel Quarry Dataset,227.7,MSER+SIFT
36,Gravel Quarry Dataset,242.75,MSER+SIFT
37,Gravel Quarry Dataset,242.59,MSER+SIFT
38,Gravel Quarry Dataset,249.04,MSER+SIFT
39,Gravel Quarry Dataset,247.63,MSER+SIFT
40,Gravel Quarry Dataset,259.57,MSER+SIFT
41,Gravel Quarry Dataset,252.77,MSER+SIFT
42,Gravel Quarry Dataset,262.06,MSER+SIFT
43,Gravel Quarry Dataset,265.11,MSER+SIFT
44,Gravel Quarry Dataset,256.02,MSER+SIFT
45,Gravel Quarry Dataset,238.19,MSER+SIFT
46,Gravel Quarry Dataset,240.71,MSER+SIFT
47,Gravel Quarry Dataset,240.82,MSER+SIFT
48,Gravel Quarry Dataset,246.38,MSER+SIFT
49,Gravel Quarry Dataset,267.22,MSER+SIFT
50,Gravel Quarry Dataset,278.18,MSER+SIFT
51,Gravel Quarry Dataset,197.04,MSER+SIFT
52,Gravel Quarry Dataset,181.82,MSER+SIFT
53,Gravel Quarry Dataset,192.43,MSER+SIFT
54,Gravel Quarry Dataset,189.73,MSER+SIFT
55,Gravel Quarry Dataset,201.34,MSER+SIFT
56,Gravel Quarry Dataset,196.77,MSER+SIFT
57,Gravel Quarry Dataset,201.79,MSER+SIFT
58,Gravel Quarry Dataset,225.5,MSER+SIFT
59,Gravel Quarry Dataset,246.87,MSER+SIFT
60,Gravel Quarry Dataset,240.73,MSER+SIFT
61,Gravel Quarry Dataset,225.0,MSER+SIFT
62,Gravel Quarry Dataset,239.95,MSER+SIFT
63,Gravel Quarry Dataset,230.59,MSER+SIFT
64,Gravel Quarry Dataset,202.56,MSER+SIFT
65,Gravel Quarry Dataset,206.89,MSER+SIFT
66,Gravel Quarry Dataset,186.77,MSER+SIFT
67,Gravel Quarry Dataset,178.94,MSER+SIFT
68,Gravel Quarry Dataset,194.85,MSER+SIFT
69,Gravel Quarry Dataset,208.63,MSER+SIFT
70,Gravel Quarry Dataset,205.43,MSER+SIFT
71,Gravel Quarry Dataset,229.55,MSER+SIFT
72,Gravel Quarry Dataset,226.85,MSER+SIFT
73,Gravel Quarry Dataset,228.93,MSER+SIFT
74,Gravel Quarry Dataset,232.23,MSER+SIFT
75,Gravel Quarry Dataset,253.2,MSER+SIFT
76,Gravel Quarry Dataset,277.98,MSER+SIFT
77,Gravel Quarry Dataset,281.48,MSER+SIFT
78,Gravel Quarry Dataset,266.48,MSER+SIFT
79,Gravel Quarry Dataset,256.96,MSER+SIFT
80,Gravel Quarry Dataset,247.38,MSER+SIFT
81,Gravel Quarry Dataset,239.74,MSER+SIFT
82,Gravel Quarry Dataset,237.26,MSER+SIFT
83,Gravel Quarry Dataset,224.04,MSER+SIFT
84,Gravel Quarry Dataset,204.85,MSER+SIFT
85,Gravel Quarry Dataset,220.27,MSER+SIFT
