,Dataset,Number of Keypoints,Detector/Descriptor
0,Gravel Quarry Dataset,10.0,SIFT
1,Gravel Quarry Dataset,10.0,SIFT
2,Gravel Quarry Dataset,10.0,SIFT
3,Gravel Quarry Dataset,10.01,SIFT
4,Gravel Quarry Dataset,10.0,SIFT
5,Gravel Quarry Dataset,10.0,SIFT
6,Gravel Quarry Dataset,10.0,SIFT
7,Gravel Quarry Dataset,10.0,SIFT
8,Gravel Quarry Dataset,10.0,SIFT
9,Gravel Quarry Dataset,10.0,SIFT
10,Gravel Quarry Dataset,10.0,SIFT
11,Gravel Quarry Dataset,10.0,SIFT
12,Gravel Quarry Dataset,10.0,SIFT
13,Gravel Quarry Dataset,10.0,SIFT
14,Gravel Quarry Dataset,10.0,SIFT
15,Gravel Quarry Dataset,10.0,SIFT
16,Gravel Quarry Dataset,10.0,SIFT
17,Gravel Quarry Dataset,10.0,SIFT
18,Gravel Quarry Dataset,10.0,SIFT
19,Gravel Quarry Dataset,10.01,SIFT
20,Gravel Quarry Dataset,10.0,SIFT
21,Gravel Quarry Dataset,10.0,SIFT
22,Gravel Quarry Dataset,10.0,SIFT
23,Gravel Quarry Dataset,10.0,SIFT
24,Gravel Quarry Dataset,10.0,SIFT
25,Gravel Quarry Dataset,10.0,SIFT
26,Gravel Quarry Dataset,10.0,SIFT
27,Gravel Quarry Dataset,10.0,SIFT
28,Gravel Quarry Dataset,10.0,SIFT
29,Gravel Quarry Dataset,10.0,SIFT
30,Gravel Quarry Dataset,10.0,SIFT
31,Gravel Quarry Dataset,10.0,SIFT
32,Gravel Quarry Dataset,10.0,SIFT
33,Gravel Quarry Dataset,10.01,SIFT
34,Gravel Quarry Dataset,10.0,SIFT
35,Gravel Quarry Dataset,10.0,SIFT
36,Gravel Quarry Dataset,10.0,SIFT
37,Gravel Quarry Dataset,10.0,SIFT
38,Gravel Quarry Dataset,10.01,SIFT
39,Gravel Quarry Dataset,10.0,SIFT
40,Gravel Quarry Dataset,10.01,SIFT
41,Gravel Quarry Dataset,10.0,SIFT
42,Gravel Quarry Dataset,10.0,SIFT
43,Gravel Quarry Dataset,10.0,SIFT
44,Gravel Quarry Dataset,10.01,SIFT
45,Gravel Quarry Dataset,10.0,SIFT
46,Gravel Quarry Dataset,10.0,SIFT
47,Gravel Quarry Dataset,10.0,SIFT
48,Gravel Quarry Dataset,10.0,SIFT
49,Gravel Quarry Dataset,10.0,SIFT
50,Gravel Quarry Dataset,10.0,SIFT
51,Gravel Quarry Dataset,10.0,SIFT
52,Gravel Quarry Dataset,10.0,SIFT
53,Gravel Quarry Dataset,10.0,SIFT
54,Gravel Quarry Dataset,10.0,SIFT
55,Gravel Quarry Dataset,10.0,SIFT
56,Gravel Quarry Dataset,10.0,SIFT
57,Gravel Quarry Dataset,10.0,SIFT
58,Gravel Quarry Dataset,10.0,SIFT
59,Gravel Quarry Dataset,10.0,SIFT
60,Gravel Quarry Dataset,10.0,SIFT
61,Gravel Quarry Dataset,10.01,SIFT
62,Gravel Quarry Dataset,10.0,SIFT
63,Gravel Quarry Dataset,10.0,SIFT
64,Gravel Quarry Dataset,10.02,SIFT
65,Gravel Quarry Dataset,10.0,SIFT
66,Gravel Quarry Dataset,10.0,SIFT
67,Gravel Quarry Dataset,10.0,SIFT
68,Gravel Quarry Dataset,10.0,SIFT
69,Gravel Quarry Dataset,10.01,SIFT
70,Gravel Quarry Dataset,10.0,SIFT
71,Gravel Quarry Dataset,10.01,SIFT
72,Gravel Quarry Dataset,10.0,SIFT
73,Gravel Quarry Dataset,10.0,SIFT
74,Gravel Quarry Dataset,10.0,SIFT
75,Gravel Quarry Dataset,10.0,SIFT
76,Gravel Quarry Dataset,10.0,SIFT
77,Gravel Quarry Dataset,10.0,SIFT
78,Gravel Quarry Dataset,10.0,SIFT
79,Gravel Quarry Dataset,10.0,SIFT
80,Gravel Quarry Dataset,10.0,SIFT
81,Gravel Quarry Dataset,10.0,SIFT
82,Gravel Quarry Dataset,10.0,SIFT
83,Gravel Quarry Dataset,10.0,SIFT
84,Gravel Quarry Dataset,10.0,SIFT
85,Gravel Quarry Dataset,10.0,SIFT
86,Gravel Quarry Dataset,10.0,SIFT
87,Gravel Quarry Dataset,10.02,SIFT
88,Gravel Quarry Dataset,10.0,SIFT
89,Gravel Quarry Dataset,10.01,SIFT
90,Gravel Quarry Dataset,10.0,SIFT
91,Gravel Quarry Dataset,10.0,SIFT
92,Gravel Quarry Dataset,10.0,SIFT
