,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,8.333333333333334,GFTT+SIFT
1,MAP Dataset,8.333333333333334,GFTT+SIFT
2,MAP Dataset,8.333333333333334,GFTT+SIFT
3,MAP Dataset,8.333333333333334,GFTT+SIFT
4,MAP Dataset,8.333333333333334,GFTT+SIFT
5,MAP Dataset,8.333333333333334,GFTT+SIFT
6,MAP Dataset,8.333333333333334,GFTT+SIFT
7,MAP Dataset,8.333333333333334,GFTT+SIFT
8,MAP Dataset,8.333333333333334,GFTT+SIFT
9,MAP Dataset,8.333333333333334,GFTT+SIFT
10,MAP Dataset,8.333333333333334,GFTT+SIFT
11,MAP Dataset,8.333333333333334,GFTT+SIFT
12,MAP Dataset,8.333333333333334,GFTT+SIFT
13,MAP Dataset,8.333333333333334,GFTT+SIFT
14,MAP Dataset,8.333333333333334,GFTT+SIFT
15,MAP Dataset,8.333333333333334,GFTT+SIFT
16,MAP Dataset,8.333333333333334,GFTT+SIFT
17,MAP Dataset,8.333333333333334,GFTT+SIFT
18,MAP Dataset,8.333333333333334,GFTT+SIFT
19,MAP Dataset,8.333333333333334,GFTT+SIFT
20,MAP Dataset,8.333333333333334,GFTT+SIFT
21,MAP Dataset,8.333333333333334,GFTT+SIFT
22,MAP Dataset,8.333333333333334,GFTT+SIFT
23,MAP Dataset,8.333333333333334,GFTT+SIFT
24,MAP Dataset,8.333333333333334,GFTT+SIFT
25,MAP Dataset,8.333333333333334,GFTT+SIFT
26,MAP Dataset,8.333333333333334,GFTT+SIFT
27,MAP Dataset,8.333333333333334,GFTT+SIFT
28,MAP Dataset,8.333333333333334,GFTT+SIFT
29,MAP Dataset,8.333333333333334,GFTT+SIFT
30,MAP Dataset,8.333333333333334,GFTT+SIFT
31,MAP Dataset,8.333333333333334,GFTT+SIFT
32,MAP Dataset,8.333333333333334,GFTT+SIFT
33,MAP Dataset,8.333333333333334,GFTT+SIFT
34,MAP Dataset,8.333333333333334,GFTT+SIFT
35,MAP Dataset,8.333333333333334,GFTT+SIFT
36,MAP Dataset,8.333333333333334,GFTT+SIFT
37,MAP Dataset,8.333333333333334,GFTT+SIFT
38,MAP Dataset,8.333333333333334,GFTT+SIFT
39,MAP Dataset,8.333333333333334,GFTT+SIFT
40,MAP Dataset,8.333333333333334,GFTT+SIFT
41,MAP Dataset,8.333333333333334,GFTT+SIFT
42,MAP Dataset,8.333333333333334,GFTT+SIFT
43,MAP Dataset,8.333333333333334,GFTT+SIFT
44,MAP Dataset,8.333333333333334,GFTT+SIFT
45,MAP Dataset,8.333333333333334,GFTT+SIFT
46,MAP Dataset,8.333333333333334,GFTT+SIFT
47,MAP Dataset,8.333333333333334,GFTT+SIFT
48,MAP Dataset,8.333333333333334,GFTT+SIFT
49,MAP Dataset,8.333333333333334,GFTT+SIFT
50,MAP Dataset,8.333333333333334,GFTT+SIFT
51,MAP Dataset,8.333333333333334,GFTT+SIFT
52,MAP Dataset,8.333333333333334,GFTT+SIFT
53,MAP Dataset,8.333333333333334,GFTT+SIFT
54,MAP Dataset,8.333333333333334,GFTT+SIFT
55,MAP Dataset,8.333333333333334,GFTT+SIFT
56,MAP Dataset,8.333333333333334,GFTT+SIFT
57,MAP Dataset,8.333333333333334,GFTT+SIFT
58,MAP Dataset,8.333333333333334,GFTT+SIFT
59,MAP Dataset,8.333333333333334,GFTT+SIFT
60,MAP Dataset,8.333333333333334,GFTT+SIFT
61,MAP Dataset,8.333333333333334,GFTT+SIFT
62,MAP Dataset,8.333333333333334,GFTT+SIFT
63,MAP Dataset,8.333333333333334,GFTT+SIFT
64,MAP Dataset,8.333333333333334,GFTT+SIFT
65,MAP Dataset,8.333333333333334,GFTT+SIFT
66,MAP Dataset,8.333333333333334,GFTT+SIFT
67,MAP Dataset,8.333333333333334,GFTT+SIFT
68,MAP Dataset,8.333333333333334,GFTT+SIFT
69,MAP Dataset,8.333333333333334,GFTT+SIFT
70,MAP Dataset,8.333333333333334,GFTT+SIFT
71,MAP Dataset,8.333333333333334,GFTT+SIFT
72,MAP Dataset,8.333333333333334,GFTT+SIFT
73,MAP Dataset,8.333333333333334,GFTT+SIFT
74,MAP Dataset,8.333333333333334,GFTT+SIFT
75,MAP Dataset,8.333333333333334,GFTT+SIFT
76,MAP Dataset,8.333333333333334,GFTT+SIFT
77,MAP Dataset,8.333333333333334,GFTT+SIFT
