,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,16.683333333333334,SIFT
1,MAP Dataset,16.666666666666668,SIFT
2,MAP Dataset,16.666666666666668,SIFT
3,MAP Dataset,16.683333333333334,SIFT
4,MAP Dataset,16.666666666666668,SIFT
5,MAP Dataset,16.666666666666668,SIFT
6,MAP Dataset,16.666666666666668,SIFT
7,MAP Dataset,16.666666666666668,SIFT
8,MAP Dataset,16.683333333333334,SIFT
9,MAP Dataset,16.666666666666668,SIFT
10,MAP Dataset,16.666666666666668,SIFT
11,MAP Dataset,16.666666666666668,SIFT
12,MAP Dataset,16.683333333333334,SIFT
13,MAP Dataset,16.666666666666668,SIFT
14,MAP Dataset,16.666666666666668,SIFT
15,MAP Dataset,16.666666666666668,SIFT
16,MAP Dataset,16.666666666666668,SIFT
17,MAP Dataset,16.666666666666668,SIFT
18,MAP Dataset,16.666666666666668,SIFT
19,MAP Dataset,16.666666666666668,SIFT
20,MAP Dataset,16.666666666666668,SIFT
21,MAP Dataset,16.666666666666668,SIFT
22,MAP Dataset,16.683333333333334,SIFT
23,MAP Dataset,16.666666666666668,SIFT
24,MAP Dataset,16.666666666666668,SIFT
25,MAP Dataset,16.666666666666668,SIFT
26,MAP Dataset,16.666666666666668,SIFT
27,MAP Dataset,16.666666666666668,SIFT
28,MAP Dataset,16.666666666666668,SIFT
29,MAP Dataset,16.666666666666668,SIFT
30,MAP Dataset,16.666666666666668,SIFT
31,MAP Dataset,16.683333333333334,SIFT
32,MAP Dataset,16.666666666666668,SIFT
33,MAP Dataset,16.666666666666668,SIFT
34,MAP Dataset,16.666666666666668,SIFT
35,MAP Dataset,16.666666666666668,SIFT
36,MAP Dataset,16.666666666666668,SIFT
37,MAP Dataset,16.666666666666668,SIFT
38,MAP Dataset,16.666666666666668,SIFT
39,MAP Dataset,16.666666666666668,SIFT
40,MAP Dataset,16.666666666666668,SIFT
41,MAP Dataset,16.683333333333334,SIFT
42,MAP Dataset,16.683333333333334,SIFT
43,MAP Dataset,16.666666666666668,SIFT
44,MAP Dataset,16.666666666666668,SIFT
45,MAP Dataset,16.683333333333334,SIFT
46,MAP Dataset,16.666666666666668,SIFT
47,MAP Dataset,16.666666666666668,SIFT
48,MAP Dataset,16.666666666666668,SIFT
49,MAP Dataset,16.666666666666668,SIFT
50,MAP Dataset,16.666666666666668,SIFT
51,MAP Dataset,16.666666666666668,SIFT
52,MAP Dataset,16.666666666666668,SIFT
53,MAP Dataset,16.666666666666668,SIFT
54,MAP Dataset,16.666666666666668,SIFT
55,MAP Dataset,16.7,SIFT
56,MAP Dataset,16.666666666666668,SIFT
57,MAP Dataset,16.666666666666668,SIFT
58,MAP Dataset,16.666666666666668,SIFT
59,MAP Dataset,16.666666666666668,SIFT
60,MAP Dataset,16.683333333333334,ROOTSIFT
61,MAP Dataset,16.666666666666668,ROOTSIFT
62,MAP Dataset,16.666666666666668,ROOTSIFT
63,MAP Dataset,16.683333333333334,ROOTSIFT
64,MAP Dataset,16.666666666666668,ROOTSIFT
65,MAP Dataset,16.666666666666668,ROOTSIFT
66,MAP Dataset,16.666666666666668,ROOTSIFT
67,MAP Dataset,16.666666666666668,ROOTSIFT
68,MAP Dataset,16.683333333333334,ROOTSIFT
69,MAP Dataset,16.666666666666668,ROOTSIFT
70,MAP Dataset,16.666666666666668,ROOTSIFT
71,MAP Dataset,16.666666666666668,ROOTSIFT
72,MAP Dataset,16.683333333333334,ROOTSIFT
73,MAP Dataset,16.666666666666668,ROOTSIFT
74,MAP Dataset,16.666666666666668,ROOTSIFT
75,MAP Dataset,16.666666666666668,ROOTSIFT
76,MAP Dataset,16.666666666666668,ROOTSIFT
77,MAP Dataset,16.666666666666668,ROOTSIFT
78,MAP Dataset,16.666666666666668,ROOTSIFT
79,MAP Dataset,16.666666666666668,ROOTSIFT
80,MAP Dataset,16.666666666666668,ROOTSIFT
81,MAP Dataset,16.666666666666668,ROOTSIFT
82,MAP Dataset,16.683333333333334,ROOTSIFT
83,MAP Dataset,16.666666666666668,ROOTSIFT
84,MAP Dataset,16.666666666666668,ROOTSIFT
85,MAP Dataset,16.666666666666668,ROOTSIFT
86,MAP Dataset,16.666666666666668,ROOTSIFT
87,MAP Dataset,16.666666666666668,ROOTSIFT
88,MAP Dataset,16.666666666666668,ROOTSIFT
89,MAP Dataset,16.666666666666668,ROOTSIFT
90,MAP Dataset,16.666666666666668,ROOTSIFT
91,MAP Dataset,16.683333333333334,ROOTSIFT
92,MAP Dataset,16.666666666666668,ROOTSIFT
93,MAP Dataset,16.666666666666668,ROOTSIFT
94,MAP Dataset,16.666666666666668,ROOTSIFT
95,MAP Dataset,16.666666666666668,ROOTSIFT
96,MAP Dataset,16.666666666666668,ROOTSIFT
97,MAP Dataset,16.666666666666668,ROOTSIFT
98,MAP Dataset,16.666666666666668,ROOTSIFT
99,MAP Dataset,16.666666666666668,ROOTSIFT
100,MAP Dataset,16.666666666666668,ROOTSIFT
101,MAP Dataset,16.683333333333334,ROOTSIFT
102,MAP Dataset,16.683333333333334,ROOTSIFT
103,MAP Dataset,16.666666666666668,ROOTSIFT
104,MAP Dataset,16.666666666666668,ROOTSIFT
105,MAP Dataset,16.683333333333334,ROOTSIFT
106,MAP Dataset,16.666666666666668,ROOTSIFT
107,MAP Dataset,16.666666666666668,ROOTSIFT
108,MAP Dataset,16.666666666666668,ROOTSIFT
109,MAP Dataset,16.666666666666668,ROOTSIFT
110,MAP Dataset,16.666666666666668,ROOTSIFT
111,MAP Dataset,16.666666666666668,ROOTSIFT
112,MAP Dataset,16.666666666666668,ROOTSIFT
113,MAP Dataset,16.666666666666668,ROOTSIFT
114,MAP Dataset,16.666666666666668,ROOTSIFT
115,MAP Dataset,16.7,ROOTSIFT
116,MAP Dataset,16.666666666666668,ROOTSIFT
117,MAP Dataset,16.666666666666668,ROOTSIFT
118,MAP Dataset,16.666666666666668,ROOTSIFT
119,MAP Dataset,16.666666666666668,ROOTSIFT
120,MAP Dataset,16.683333333333334,DAISY+SIFT
121,MAP Dataset,16.666666666666668,DAISY+SIFT
122,MAP Dataset,16.666666666666668,DAISY+SIFT
123,MAP Dataset,16.683333333333334,DAISY+SIFT
124,MAP Dataset,16.666666666666668,DAISY+SIFT
125,MAP Dataset,16.666666666666668,DAISY+SIFT
126,MAP Dataset,16.666666666666668,DAISY+SIFT
127,MAP Dataset,16.666666666666668,DAISY+SIFT
128,MAP Dataset,16.683333333333334,DAISY+SIFT
129,MAP Dataset,16.666666666666668,DAISY+SIFT
130,MAP Dataset,16.666666666666668,DAISY+SIFT
131,MAP Dataset,16.666666666666668,DAISY+SIFT
132,MAP Dataset,16.683333333333334,DAISY+SIFT
133,MAP Dataset,16.666666666666668,DAISY+SIFT
134,MAP Dataset,16.666666666666668,DAISY+SIFT
135,MAP Dataset,16.666666666666668,DAISY+SIFT
136,MAP Dataset,16.666666666666668,DAISY+SIFT
137,MAP Dataset,16.666666666666668,DAISY+SIFT
138,MAP Dataset,16.666666666666668,DAISY+SIFT
139,MAP Dataset,16.666666666666668,DAISY+SIFT
140,MAP Dataset,16.666666666666668,DAISY+SIFT
141,MAP Dataset,16.666666666666668,DAISY+SIFT
142,MAP Dataset,16.683333333333334,DAISY+SIFT
143,MAP Dataset,16.666666666666668,DAISY+SIFT
144,MAP Dataset,16.666666666666668,DAISY+SIFT
145,MAP Dataset,16.666666666666668,DAISY+SIFT
146,MAP Dataset,16.666666666666668,DAISY+SIFT
147,MAP Dataset,16.666666666666668,DAISY+SIFT
148,MAP Dataset,16.666666666666668,DAISY+SIFT
149,MAP Dataset,16.666666666666668,DAISY+SIFT
150,MAP Dataset,16.666666666666668,DAISY+SIFT
151,MAP Dataset,16.683333333333334,DAISY+SIFT
152,MAP Dataset,16.666666666666668,DAISY+SIFT
153,MAP Dataset,16.666666666666668,DAISY+SIFT
154,MAP Dataset,16.666666666666668,DAISY+SIFT
155,MAP Dataset,16.666666666666668,DAISY+SIFT
156,MAP Dataset,16.666666666666668,DAISY+SIFT
157,MAP Dataset,16.666666666666668,DAISY+SIFT
158,MAP Dataset,16.666666666666668,DAISY+SIFT
159,MAP Dataset,16.666666666666668,DAISY+SIFT
160,MAP Dataset,16.666666666666668,DAISY+SIFT
161,MAP Dataset,16.683333333333334,DAISY+SIFT
162,MAP Dataset,16.683333333333334,DAISY+SIFT
163,MAP Dataset,16.666666666666668,DAISY+SIFT
164,MAP Dataset,16.666666666666668,DAISY+SIFT
165,MAP Dataset,16.683333333333334,DAISY+SIFT
166,MAP Dataset,16.666666666666668,DAISY+SIFT
167,MAP Dataset,16.666666666666668,DAISY+SIFT
168,MAP Dataset,16.666666666666668,DAISY+SIFT
169,MAP Dataset,16.666666666666668,DAISY+SIFT
170,MAP Dataset,16.666666666666668,DAISY+SIFT
171,MAP Dataset,16.666666666666668,DAISY+SIFT
172,MAP Dataset,16.666666666666668,DAISY+SIFT
173,MAP Dataset,16.666666666666668,DAISY+SIFT
174,MAP Dataset,16.666666666666668,DAISY+SIFT
175,MAP Dataset,16.7,DAISY+SIFT
176,MAP Dataset,16.666666666666668,DAISY+SIFT
177,MAP Dataset,16.666666666666668,DAISY+SIFT
178,MAP Dataset,16.666666666666668,DAISY+SIFT
179,MAP Dataset,16.666666666666668,DAISY+SIFT
180,,33.333333333333336,
181,,33.35,
182,,33.333333333333336,
183,,33.35,
184,,33.333333333333336,
