,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,8.333333333333334,ROOTSIFT
1,MAP Dataset,8.333333333333334,ROOTSIFT
2,MAP Dataset,8.333333333333334,ROOTSIFT
3,MAP Dataset,8.333333333333334,ROOTSIFT
4,MAP Dataset,8.333333333333334,ROOTSIFT
5,MAP Dataset,8.333333333333334,ROOTSIFT
6,MAP Dataset,8.333333333333334,ROOTSIFT
7,MAP Dataset,8.333333333333334,ROOTSIFT
8,MAP Dataset,8.333333333333334,ROOTSIFT
9,MAP Dataset,8.341666666666667,ROOTSIFT
10,MAP Dataset,8.333333333333334,ROOTSIFT
11,MAP Dataset,8.333333333333334,ROOTSIFT
12,MAP Dataset,8.333333333333334,ROOTSIFT
13,MAP Dataset,8.333333333333334,ROOTSIFT
14,MAP Dataset,8.333333333333334,ROOTSIFT
15,MAP Dataset,8.35,ROOTSIFT
16,MAP Dataset,8.333333333333334,ROOTSIFT
17,MAP Dataset,8.333333333333334,ROOTSIFT
18,MAP Dataset,8.333333333333334,ROOTSIFT
19,MAP Dataset,8.333333333333334,ROOTSIFT
20,MAP Dataset,8.341666666666667,ROOTSIFT
21,MAP Dataset,8.35,ROOTSIFT
22,MAP Dataset,8.333333333333334,ROOTSIFT
23,MAP Dataset,8.333333333333334,ROOTSIFT
24,MAP Dataset,8.333333333333334,ROOTSIFT
25,MAP Dataset,8.333333333333334,ROOTSIFT
26,MAP Dataset,8.333333333333334,ROOTSIFT
27,MAP Dataset,8.341666666666667,ROOTSIFT
28,MAP Dataset,8.333333333333334,ROOTSIFT
29,MAP Dataset,8.333333333333334,ROOTSIFT
30,MAP Dataset,8.333333333333334,ROOTSIFT
31,MAP Dataset,8.333333333333334,ROOTSIFT
32,MAP Dataset,8.333333333333334,ROOTSIFT
33,MAP Dataset,8.333333333333334,ROOTSIFT
34,MAP Dataset,8.333333333333334,ROOTSIFT
35,MAP Dataset,8.333333333333334,ROOTSIFT
36,MAP Dataset,8.333333333333334,ROOTSIFT
37,MAP Dataset,8.333333333333334,ROOTSIFT
38,MAP Dataset,8.333333333333334,ROOTSIFT
39,MAP Dataset,8.333333333333334,ROOTSIFT
40,MAP Dataset,8.333333333333334,ROOTSIFT
41,MAP Dataset,8.333333333333334,ROOTSIFT
42,MAP Dataset,8.333333333333334,ROOTSIFT
43,MAP Dataset,8.333333333333334,ROOTSIFT
44,MAP Dataset,8.333333333333334,ROOTSIFT
45,MAP Dataset,8.333333333333334,ROOTSIFT
46,MAP Dataset,8.333333333333334,ROOTSIFT
47,MAP Dataset,8.341666666666667,ROOTSIFT
48,MAP Dataset,8.333333333333334,ROOTSIFT
49,MAP Dataset,8.333333333333334,ROOTSIFT
50,MAP Dataset,8.333333333333334,ROOTSIFT
51,MAP Dataset,8.341666666666667,ROOTSIFT
52,MAP Dataset,8.341666666666667,ROOTSIFT
53,MAP Dataset,8.333333333333334,ROOTSIFT
54,MAP Dataset,8.333333333333334,ROOTSIFT
55,MAP Dataset,8.333333333333334,ROOTSIFT
56,MAP Dataset,8.333333333333334,ROOTSIFT
