,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,404.34166666666664,BRISK+FREAK
1,Small Village Dataset,431.9583333333333,BRISK+FREAK
2,Small Village Dataset,444.0,BRISK+FREAK
3,Small Village Dataset,362.8333333333333,BRISK+FREAK
4,Small Village Dataset,370.175,BRISK+FREAK
5,Small Village Dataset,437.85833333333335,BRISK+FREAK
6,Small Village Dataset,646.5166666666667,BRISK+FREAK
7,Small Village Dataset,549.1666666666666,BRISK+FREAK
8,Small Village Dataset,386.1666666666667,BRISK+FREAK
9,Small Village Dataset,365.825,BRISK+FREAK
10,Small Village Dataset,390.775,BRISK+FREAK
11,Small Village Dataset,417.84166666666664,BRISK+FREAK
12,Small Village Dataset,425.89166666666665,BRISK+FREAK
13,Small Village Dataset,917.2166666666667,BRISK+FREAK
14,Small Village Dataset,1520.5916666666667,BRISK+FREAK
15,Small Village Dataset,754.575,BRISK+FREAK
16,Small Village Dataset,500.69166666666666,BRISK+FREAK
17,Small Village Dataset,424.7083333333333,BRISK+FREAK
18,Small Village Dataset,464.1,BRISK+FREAK
19,Small Village Dataset,406.94166666666666,BRISK+FREAK
20,Small Village Dataset,492.05,BRISK+FREAK
21,Small Village Dataset,688.8416666666667,BRISK+FREAK
22,Small Village Dataset,969.1583333333333,BRISK+FREAK
23,Small Village Dataset,665.275,BRISK+FREAK
24,Small Village Dataset,395.0083333333333,BRISK+FREAK
25,Small Village Dataset,362.3,BRISK+FREAK
26,Small Village Dataset,487.3833333333333,BRISK+FREAK
27,Small Village Dataset,494.68333333333334,BRISK+FREAK
28,Small Village Dataset,693.625,BRISK+FREAK
29,Small Village Dataset,1015.0833333333334,BRISK+FREAK
30,Small Village Dataset,888.2833333333333,BRISK+FREAK
31,Small Village Dataset,523.325,BRISK+FREAK
32,Small Village Dataset,314.0,BRISK+FREAK
33,Small Village Dataset,350.89166666666665,BRISK+FREAK
34,Small Village Dataset,415.0083333333333,BRISK+FREAK
35,Small Village Dataset,527.575,BRISK+FREAK
36,Small Village Dataset,748.8,BRISK+FREAK
37,Small Village Dataset,1040.025,BRISK+FREAK
38,Small Village Dataset,687.6833333333333,BRISK+FREAK
39,Small Village Dataset,472.78333333333336,BRISK+FREAK
40,Small Village Dataset,247.63333333333333,BRISK+FREAK
41,Small Village Dataset,235.075,BRISK+FREAK
42,Small Village Dataset,371.19166666666666,BRISK+FREAK
43,Small Village Dataset,618.925,BRISK+FREAK
44,Small Village Dataset,988.325,BRISK+FREAK
45,Small Village Dataset,1600.075,BRISK+FREAK
46,Small Village Dataset,1039.4916666666666,BRISK+FREAK
47,Small Village Dataset,635.5333333333333,BRISK+FREAK
48,Small Village Dataset,422.625,BRISK+FREAK
49,Small Village Dataset,218.1,BRISK+FREAK
50,Small Village Dataset,481.75,BRISK+FREAK
51,Small Village Dataset,585.8,BRISK+FREAK
52,Small Village Dataset,861.3583333333333,BRISK+FREAK
53,Small Village Dataset,1120.075,BRISK+FREAK
54,Small Village Dataset,1136.6,BRISK+FREAK
55,Small Village Dataset,807.1,BRISK+FREAK
56,Small Village Dataset,628.4833333333333,BRISK+FREAK
57,Small Village Dataset,426.725,BRISK+FREAK
58,Small Village Dataset,333.4583333333333,BRISK+FREAK
59,Small Village Dataset,887.5166666666667,BRISK+FREAK
60,Small Village Dataset,1214.675,BRISK+FREAK
61,Small Village Dataset,709.1,BRISK+FREAK
62,Small Village Dataset,1017.1333333333333,BRISK+FREAK
63,Small Village Dataset,630.2,BRISK+FREAK
64,Small Village Dataset,471.65,BRISK+FREAK
65,Small Village Dataset,428.025,BRISK+FREAK
66,Small Village Dataset,427.05833333333334,BRISK+FREAK
67,Small Village Dataset,366.01666666666665,BRISK+FREAK
68,Small Village Dataset,315.53333333333336,BRISK+FREAK
69,Small Village Dataset,271.18333333333334,BRISK+FREAK
70,Small Village Dataset,279.80833333333334,BRISK+FREAK
71,Small Village Dataset,302.1333333333333,BRISK+FREAK
72,Small Village Dataset,383.51666666666665,BRISK+FREAK
73,Small Village Dataset,405.725,BRISK+FREAK
74,Small Village Dataset,423.1666666666667,BRISK+FREAK
75,Small Village Dataset,422.5416666666667,BRISK+FREAK
76,Small Village Dataset,383.1333333333333,BRISK+FREAK
77,Small Village Dataset,551.9416666666667,BRISK+FREAK
78,Small Village Dataset,654.5666666666667,BRISK+FREAK
79,Small Village Dataset,557.3333333333334,BRISK+FREAK
80,Small Village Dataset,371.8,BRISK+FREAK
81,Small Village Dataset,512.9166666666666,BRISK+FREAK
82,Small Village Dataset,437.3,BRISK+FREAK
83,Small Village Dataset,373.675,BRISK+FREAK
84,Small Village Dataset,352.825,BRISK+FREAK
85,Small Village Dataset,254.46666666666667,BRISK+FREAK
86,Small Village Dataset,114.50833333333334,BRISK+FREAK
87,Small Village Dataset,180.45833333333334,BRISK+FREAK
88,Small Village Dataset,442.10833333333335,BRISK+FREAK
89,Small Village Dataset,527.525,BRISK+FREAK
90,Small Village Dataset,512.9,BRISK+FREAK
91,Small Village Dataset,502.725,BRISK+FREAK
92,Small Village Dataset,436.425,BRISK+FREAK
93,Small Village Dataset,417.4916666666667,BRISK+FREAK
94,Small Village Dataset,888.45,BRISK+FREAK
95,Small Village Dataset,669.7416666666667,BRISK+FREAK
96,Small Village Dataset,482.8666666666667,BRISK+FREAK
97,Small Village Dataset,510.1666666666667,BRISK+FREAK
98,Small Village Dataset,540.1416666666667,BRISK+FREAK
99,Small Village Dataset,445.48333333333335,BRISK+FREAK
100,Small Village Dataset,461.23333333333335,BRISK+FREAK
101,Small Village Dataset,317.59166666666664,BRISK+FREAK
102,Small Village Dataset,5.475,BRISK+FREAK
103,Small Village Dataset,268.3833333333333,BRISK+FREAK
104,Small Village Dataset,466.275,BRISK+FREAK
105,Small Village Dataset,554.8083333333333,BRISK+FREAK
106,Small Village Dataset,483.23333333333335,BRISK+FREAK
107,Small Village Dataset,471.14166666666665,BRISK+FREAK
108,Small Village Dataset,556.3833333333333,BRISK+FREAK
109,Small Village Dataset,370.48333333333335,BRISK+FREAK
110,Small Village Dataset,693.9083333333333,BRISK+FREAK
111,Small Village Dataset,363.09166666666664,BRISK+FREAK
112,Small Village Dataset,599.9666666666667,BRISK+FREAK
113,Small Village Dataset,495.8666666666667,BRISK+FREAK
114,Small Village Dataset,487.85833333333335,BRISK+FREAK
115,Small Village Dataset,441.73333333333335,BRISK+FREAK
116,Small Village Dataset,400.125,BRISK+FREAK
117,Small Village Dataset,296.9166666666667,BRISK+FREAK
118,Small Village Dataset,109.78333333333333,BRISK+FREAK
119,Small Village Dataset,225.325,BRISK+FREAK
120,Small Village Dataset,8.341666666666667,SIFT
121,Small Village Dataset,8.333333333333334,SIFT
122,Small Village Dataset,8.333333333333334,SIFT
123,Small Village Dataset,8.333333333333334,SIFT
124,Small Village Dataset,8.333333333333334,SIFT
125,Small Village Dataset,8.341666666666667,SIFT
126,Small Village Dataset,8.333333333333334,SIFT
127,Small Village Dataset,8.333333333333334,SIFT
128,Small Village Dataset,8.341666666666667,SIFT
129,Small Village Dataset,8.333333333333334,SIFT
130,Small Village Dataset,8.333333333333334,SIFT
131,Small Village Dataset,8.333333333333334,SIFT
132,Small Village Dataset,8.333333333333334,SIFT
133,Small Village Dataset,8.333333333333334,SIFT
134,Small Village Dataset,8.333333333333334,SIFT
135,Small Village Dataset,8.333333333333334,SIFT
136,Small Village Dataset,8.333333333333334,SIFT
137,Small Village Dataset,8.333333333333334,SIFT
138,Small Village Dataset,8.341666666666667,SIFT
139,Small Village Dataset,8.333333333333334,SIFT
140,Small Village Dataset,8.333333333333334,SIFT
141,Small Village Dataset,8.333333333333334,SIFT
142,Small Village Dataset,8.333333333333334,SIFT
143,Small Village Dataset,8.341666666666667,SIFT
144,Small Village Dataset,8.333333333333334,SIFT
145,Small Village Dataset,8.333333333333334,SIFT
146,Small Village Dataset,8.333333333333334,SIFT
147,Small Village Dataset,8.333333333333334,SIFT
148,Small Village Dataset,8.333333333333334,SIFT
149,Small Village Dataset,8.333333333333334,SIFT
150,Small Village Dataset,8.333333333333334,SIFT
151,Small Village Dataset,8.333333333333334,SIFT
152,Small Village Dataset,8.333333333333334,SIFT
153,Small Village Dataset,8.333333333333334,SIFT
154,Small Village Dataset,8.333333333333334,SIFT
155,Small Village Dataset,8.333333333333334,SIFT
156,Small Village Dataset,8.333333333333334,SIFT
157,Small Village Dataset,8.333333333333334,SIFT
158,Small Village Dataset,8.333333333333334,SIFT
159,Small Village Dataset,8.333333333333334,SIFT
160,Small Village Dataset,8.333333333333334,SIFT
161,Small Village Dataset,8.333333333333334,SIFT
162,Small Village Dataset,8.341666666666667,SIFT
163,Small Village Dataset,8.333333333333334,SIFT
164,Small Village Dataset,8.333333333333334,SIFT
165,Small Village Dataset,8.333333333333334,SIFT
166,Small Village Dataset,8.333333333333334,SIFT
167,Small Village Dataset,8.333333333333334,SIFT
168,Small Village Dataset,8.333333333333334,SIFT
169,Small Village Dataset,8.333333333333334,SIFT
170,Small Village Dataset,8.35,SIFT
171,Small Village Dataset,8.333333333333334,SIFT
172,Small Village Dataset,8.333333333333334,SIFT
173,Small Village Dataset,8.333333333333334,SIFT
174,Small Village Dataset,8.333333333333334,SIFT
175,Small Village Dataset,8.333333333333334,SIFT
176,Small Village Dataset,8.333333333333334,SIFT
177,Small Village Dataset,8.341666666666667,SIFT
178,Small Village Dataset,8.333333333333334,SIFT
179,Small Village Dataset,8.333333333333334,SIFT
180,Small Village Dataset,8.333333333333334,SIFT
