,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,1765.2666666666667,BRISK
1,MAP Dataset,1782.4333333333334,BRISK
2,MAP Dataset,2062.75,BRISK
3,MAP Dataset,2089.7166666666667,BRISK
4,MAP Dataset,2294.0666666666666,BRISK
5,MAP Dataset,2546.8166666666666,BRISK
6,MAP Dataset,2601.1666666666665,BRISK
7,MAP Dataset,2677.983333333333,BRISK
8,MAP Dataset,2987.383333333333,BRISK
9,MAP Dataset,2792.8,BRISK
10,MAP Dataset,3587.5666666666666,BRISK
11,MAP Dataset,3547.516666666667,BRISK
12,MAP Dataset,3120.4,BRISK
13,MAP Dataset,2920.2,BRISK
14,MAP Dataset,2743.75,BRISK
15,MAP Dataset,2510.3166666666666,BRISK
16,MAP Dataset,2472.9666666666667,BRISK
17,MAP Dataset,2447.483333333333,BRISK
18,MAP Dataset,2539.25,BRISK
19,MAP Dataset,2396.383333333333,BRISK
20,MAP Dataset,2369.383333333333,BRISK
21,MAP Dataset,2895.95,BRISK
22,MAP Dataset,2644.633333333333,BRISK
23,MAP Dataset,2628.8333333333335,BRISK
24,MAP Dataset,1963.5833333333333,BRISK
25,MAP Dataset,2202.1666666666665,BRISK
26,MAP Dataset,2198.6833333333334,BRISK
27,MAP Dataset,2360.9666666666667,BRISK
28,MAP Dataset,2883.9166666666665,BRISK
29,MAP Dataset,2564.0,BRISK
30,MAP Dataset,2450.8333333333335,BRISK
31,MAP Dataset,1941.2833333333333,BRISK
32,MAP Dataset,1755.5333333333333,BRISK
33,MAP Dataset,1747.3666666666666,BRISK
34,MAP Dataset,2178.1,BRISK
35,MAP Dataset,2179.2,BRISK
36,MAP Dataset,2071.0666666666666,BRISK
37,MAP Dataset,1764.6666666666667,BRISK
38,MAP Dataset,1914.3666666666666,BRISK
39,MAP Dataset,1831.7166666666667,BRISK
40,MAP Dataset,1846.45,BRISK
41,MAP Dataset,1809.1333333333334,BRISK
42,MAP Dataset,1998.5333333333333,BRISK
43,MAP Dataset,1964.1166666666666,BRISK
44,MAP Dataset,2190.9166666666665,BRISK
45,MAP Dataset,2332.133333333333,BRISK
46,MAP Dataset,2448.0833333333335,BRISK
47,MAP Dataset,2546.883333333333,BRISK
48,MAP Dataset,2798.266666666667,BRISK
49,MAP Dataset,2677.7833333333333,BRISK
50,MAP Dataset,2955.8333333333335,BRISK
51,MAP Dataset,2925.2833333333333,BRISK
52,MAP Dataset,3159.9333333333334,BRISK
53,MAP Dataset,3545.15,BRISK
54,MAP Dataset,3513.4166666666665,BRISK
55,MAP Dataset,4319.25,BRISK
56,MAP Dataset,4010.366666666667,BRISK
57,MAP Dataset,3908.7,BRISK
58,MAP Dataset,3762.1,BRISK
59,MAP Dataset,3679.366666666667,BRISK
60,MAP Dataset,1717.5833333333333,BRISK+FREAK
61,MAP Dataset,1738.6666666666667,BRISK+FREAK
62,MAP Dataset,2009.25,BRISK+FREAK
63,MAP Dataset,2035.8833333333334,BRISK+FREAK
64,MAP Dataset,2228.2,BRISK+FREAK
65,MAP Dataset,2479.0666666666666,BRISK+FREAK
66,MAP Dataset,2532.733333333333,BRISK+FREAK
67,MAP Dataset,2600.35,BRISK+FREAK
68,MAP Dataset,2908.0333333333333,BRISK+FREAK
69,MAP Dataset,2719.65,BRISK+FREAK
70,MAP Dataset,3494.866666666667,BRISK+FREAK
71,MAP Dataset,3469.2,BRISK+FREAK
72,MAP Dataset,3046.5,BRISK+FREAK
73,MAP Dataset,2846.133333333333,BRISK+FREAK
74,MAP Dataset,2674.516666666667,BRISK+FREAK
75,MAP Dataset,2447.266666666667,BRISK+FREAK
76,MAP Dataset,2414.616666666667,BRISK+FREAK
77,MAP Dataset,2382.116666666667,BRISK+FREAK
78,MAP Dataset,2476.25,BRISK+FREAK
79,MAP Dataset,2336.1833333333334,BRISK+FREAK
80,MAP Dataset,2307.0833333333335,BRISK+FREAK
81,MAP Dataset,2819.4666666666667,BRISK+FREAK
82,MAP Dataset,2579.0,BRISK+FREAK
83,MAP Dataset,2562.616666666667,BRISK+FREAK
84,MAP Dataset,1922.4333333333334,BRISK+FREAK
85,MAP Dataset,2151.7,BRISK+FREAK
86,MAP Dataset,2140.25,BRISK+FREAK
87,MAP Dataset,2303.483333333333,BRISK+FREAK
88,MAP Dataset,2803.366666666667,BRISK+FREAK
89,MAP Dataset,2498.883333333333,BRISK+FREAK
90,MAP Dataset,2384.4166666666665,BRISK+FREAK
91,MAP Dataset,1894.9666666666667,BRISK+FREAK
92,MAP Dataset,1715.9,BRISK+FREAK
93,MAP Dataset,1700.8666666666666,BRISK+FREAK
94,MAP Dataset,2129.0333333333333,BRISK+FREAK
95,MAP Dataset,2130.4,BRISK+FREAK
96,MAP Dataset,2015.05,BRISK+FREAK
97,MAP Dataset,1726.3333333333333,BRISK+FREAK
98,MAP Dataset,1866.2,BRISK+FREAK
99,MAP Dataset,1782.5666666666666,BRISK+FREAK
100,MAP Dataset,1800.0333333333333,BRISK+FREAK
101,MAP Dataset,1767.3333333333333,BRISK+FREAK
102,MAP Dataset,1949.8666666666666,BRISK+FREAK
103,MAP Dataset,1916.4833333333333,BRISK+FREAK
104,MAP Dataset,2137.3,BRISK+FREAK
105,MAP Dataset,2276.8166666666666,BRISK+FREAK
106,MAP Dataset,2389.35,BRISK+FREAK
107,MAP Dataset,2482.8166666666666,BRISK+FREAK
108,MAP Dataset,2727.25,BRISK+FREAK
109,MAP Dataset,2607.4333333333334,BRISK+FREAK
110,MAP Dataset,2878.9666666666667,BRISK+FREAK
111,MAP Dataset,2842.983333333333,BRISK+FREAK
112,MAP Dataset,3073.883333333333,BRISK+FREAK
113,MAP Dataset,3440.116666666667,BRISK+FREAK
114,MAP Dataset,3408.1,BRISK+FREAK
115,MAP Dataset,4196.183333333333,BRISK+FREAK
116,MAP Dataset,3912.35,BRISK+FREAK
117,MAP Dataset,3809.766666666667,BRISK+FREAK
118,MAP Dataset,3671.6,BRISK+FREAK
119,MAP Dataset,3587.133333333333,BRISK+FREAK
120,MAP Dataset,333.3333333333333,ORB
121,MAP Dataset,333.3333333333333,ORB
122,MAP Dataset,333.3333333333333,ORB
123,MAP Dataset,333.3333333333333,ORB
124,MAP Dataset,333.3333333333333,ORB
125,MAP Dataset,333.3333333333333,ORB
126,MAP Dataset,333.3333333333333,ORB
127,MAP Dataset,333.3333333333333,ORB
128,MAP Dataset,333.3333333333333,ORB
129,MAP Dataset,333.3333333333333,ORB
130,MAP Dataset,333.3333333333333,ORB
131,MAP Dataset,333.3333333333333,ORB
132,MAP Dataset,333.3333333333333,ORB
133,MAP Dataset,333.3333333333333,ORB
134,MAP Dataset,333.3333333333333,ORB
135,MAP Dataset,333.3333333333333,ORB
136,MAP Dataset,333.3333333333333,ORB
137,MAP Dataset,333.3333333333333,ORB
138,MAP Dataset,333.3333333333333,ORB
139,MAP Dataset,333.3333333333333,ORB
140,MAP Dataset,333.3333333333333,ORB
141,MAP Dataset,333.3333333333333,ORB
142,MAP Dataset,333.3333333333333,ORB
143,MAP Dataset,333.3333333333333,ORB
144,MAP Dataset,333.3333333333333,ORB
145,MAP Dataset,333.3333333333333,ORB
146,MAP Dataset,333.3333333333333,ORB
147,MAP Dataset,333.3333333333333,ORB
148,MAP Dataset,333.3333333333333,ORB
149,MAP Dataset,333.3333333333333,ORB
150,MAP Dataset,333.3333333333333,ORB
151,MAP Dataset,333.3333333333333,ORB
152,MAP Dataset,333.3333333333333,ORB
153,MAP Dataset,333.3333333333333,ORB
154,MAP Dataset,333.3333333333333,ORB
155,MAP Dataset,333.3333333333333,ORB
156,MAP Dataset,333.3333333333333,ORB
157,MAP Dataset,333.3333333333333,ORB
158,MAP Dataset,333.3333333333333,ORB
159,MAP Dataset,333.3333333333333,ORB
160,MAP Dataset,333.3333333333333,ORB
161,MAP Dataset,333.3333333333333,ORB
