,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,16.666666666666668,KAZE
1,MAP Dataset,16.666666666666668,KAZE
2,MAP Dataset,16.666666666666668,KAZE
3,MAP Dataset,16.666666666666668,KAZE
4,MAP Dataset,16.666666666666668,KAZE
5,MAP Dataset,16.666666666666668,KAZE
6,MAP Dataset,16.666666666666668,KAZE
7,MAP Dataset,16.666666666666668,KAZE
8,MAP Dataset,16.666666666666668,KAZE
9,MAP Dataset,16.666666666666668,KAZE
10,MAP Dataset,16.666666666666668,KAZE
11,MAP Dataset,16.666666666666668,KAZE
12,MAP Dataset,16.666666666666668,KAZE
13,MAP Dataset,16.666666666666668,KAZE
14,MAP Dataset,16.666666666666668,KAZE
15,MAP Dataset,16.666666666666668,KAZE
16,MAP Dataset,16.666666666666668,KAZE
17,MAP Dataset,16.666666666666668,KAZE
18,MAP Dataset,16.666666666666668,KAZE
19,MAP Dataset,16.666666666666668,KAZE
20,MAP Dataset,16.666666666666668,KAZE
21,MAP Dataset,16.666666666666668,KAZE
22,MAP Dataset,16.666666666666668,KAZE
23,MAP Dataset,16.666666666666668,KAZE
24,MAP Dataset,16.666666666666668,KAZE
25,MAP Dataset,16.666666666666668,KAZE
26,MAP Dataset,16.666666666666668,KAZE
27,MAP Dataset,16.666666666666668,KAZE
28,MAP Dataset,16.666666666666668,KAZE
29,MAP Dataset,16.666666666666668,KAZE
30,MAP Dataset,16.666666666666668,KAZE
31,MAP Dataset,16.666666666666668,KAZE
32,MAP Dataset,16.666666666666668,KAZE
33,MAP Dataset,16.666666666666668,KAZE
34,MAP Dataset,16.666666666666668,KAZE
35,MAP Dataset,16.666666666666668,KAZE
36,MAP Dataset,16.666666666666668,KAZE
37,MAP Dataset,16.666666666666668,KAZE
38,MAP Dataset,16.666666666666668,KAZE
39,MAP Dataset,16.666666666666668,KAZE
40,MAP Dataset,16.666666666666668,KAZE
41,MAP Dataset,16.666666666666668,KAZE
42,MAP Dataset,16.666666666666668,KAZE
43,MAP Dataset,16.666666666666668,KAZE
44,MAP Dataset,16.666666666666668,KAZE
