,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,290.98333333333335,AGAST+SIFT
1,MAP Dataset,311.675,AGAST+SIFT
2,MAP Dataset,330.21666666666664,AGAST+SIFT
3,MAP Dataset,367.5083333333333,AGAST+SIFT
4,MAP Dataset,379.19166666666666,AGAST+SIFT
5,MAP Dataset,334.05,AGAST+SIFT
6,MAP Dataset,260.73333333333335,AGAST+SIFT
7,MAP Dataset,245.075,AGAST+SIFT
8,MAP Dataset,211.91666666666666,AGAST+SIFT
9,MAP Dataset,188.025,AGAST+SIFT
10,MAP Dataset,178.10833333333332,AGAST+SIFT
11,MAP Dataset,158.775,AGAST+SIFT
12,MAP Dataset,166.64166666666668,AGAST+SIFT
13,MAP Dataset,155.425,AGAST+SIFT
14,MAP Dataset,152.44166666666666,AGAST+SIFT
15,MAP Dataset,148.7,AGAST+SIFT
16,MAP Dataset,135.88333333333333,AGAST+SIFT
17,MAP Dataset,118.86666666666666,AGAST+SIFT
18,MAP Dataset,119.73333333333333,AGAST+SIFT
19,MAP Dataset,107.825,AGAST+SIFT
20,MAP Dataset,111.50833333333334,AGAST+SIFT
21,MAP Dataset,114.29166666666667,AGAST+SIFT
22,MAP Dataset,123.825,AGAST+SIFT
23,MAP Dataset,114.06666666666666,AGAST+SIFT
24,MAP Dataset,129.43333333333334,AGAST+SIFT
25,MAP Dataset,131.85833333333332,AGAST+SIFT
26,MAP Dataset,131.81666666666666,AGAST+SIFT
27,MAP Dataset,101.73333333333333,AGAST+SIFT
28,MAP Dataset,100.1,AGAST+SIFT
29,MAP Dataset,107.75833333333334,AGAST+SIFT
30,MAP Dataset,99.03333333333333,AGAST+SIFT
31,MAP Dataset,101.56666666666666,AGAST+SIFT
32,MAP Dataset,119.66666666666667,AGAST+SIFT
33,MAP Dataset,122.525,AGAST+SIFT
34,MAP Dataset,135.90833333333333,AGAST+SIFT
35,MAP Dataset,153.69166666666666,AGAST+SIFT
36,MAP Dataset,153.49166666666667,AGAST+SIFT
37,MAP Dataset,158.0,AGAST+SIFT
38,MAP Dataset,177.825,AGAST+SIFT
39,MAP Dataset,163.675,AGAST+SIFT
40,MAP Dataset,209.73333333333332,AGAST+SIFT
41,MAP Dataset,235.85833333333332,AGAST+SIFT
42,MAP Dataset,208.525,AGAST+SIFT
43,MAP Dataset,199.34166666666667,AGAST+SIFT
44,MAP Dataset,185.18333333333334,AGAST+SIFT
45,MAP Dataset,172.725,AGAST+SIFT
46,MAP Dataset,164.03333333333333,AGAST+SIFT
47,MAP Dataset,155.86666666666667,AGAST+SIFT
48,MAP Dataset,160.66666666666666,AGAST+SIFT
49,MAP Dataset,146.89166666666668,AGAST+SIFT
50,MAP Dataset,140.775,AGAST+SIFT
51,MAP Dataset,173.68333333333334,AGAST+SIFT
52,MAP Dataset,151.81666666666666,AGAST+SIFT
53,MAP Dataset,150.13333333333333,AGAST+SIFT
54,MAP Dataset,113.13333333333334,AGAST+SIFT
55,MAP Dataset,134.53333333333333,AGAST+SIFT
56,MAP Dataset,144.6,AGAST+SIFT
57,MAP Dataset,165.34166666666667,AGAST+SIFT
58,MAP Dataset,194.45833333333334,AGAST+SIFT
59,MAP Dataset,174.025,AGAST+SIFT
60,MAP Dataset,160.825,AGAST+SIFT
61,MAP Dataset,282.325,AGAST+SIFT
62,MAP Dataset,236.71666666666667,AGAST+SIFT
63,MAP Dataset,220.60833333333332,AGAST+SIFT
64,MAP Dataset,181.175,AGAST+SIFT
65,MAP Dataset,200.41666666666666,AGAST+SIFT
66,MAP Dataset,179.56666666666666,AGAST+SIFT
67,MAP Dataset,166.55,AGAST+SIFT
68,MAP Dataset,154.80833333333334,AGAST+SIFT
69,MAP Dataset,140.31666666666666,AGAST+SIFT
70,MAP Dataset,140.64166666666668,AGAST+SIFT
71,MAP Dataset,120.45,AGAST+SIFT
72,MAP Dataset,109.40833333333333,AGAST+SIFT
73,MAP Dataset,100.275,AGAST+SIFT
74,MAP Dataset,107.99166666666666,AGAST+SIFT
75,MAP Dataset,102.5,AGAST+SIFT
76,MAP Dataset,103.95,AGAST+SIFT
77,MAP Dataset,106.79166666666667,AGAST+SIFT
78,MAP Dataset,90.175,AGAST+SIFT
79,MAP Dataset,96.44166666666666,AGAST+SIFT
80,MAP Dataset,98.00833333333334,AGAST+SIFT
81,MAP Dataset,116.98333333333333,AGAST+SIFT
82,MAP Dataset,92.45,AGAST+SIFT
83,MAP Dataset,90.175,AGAST+SIFT
84,MAP Dataset,91.56666666666666,AGAST+SIFT
85,MAP Dataset,92.375,AGAST+SIFT
86,MAP Dataset,98.425,AGAST+SIFT
87,MAP Dataset,103.525,AGAST+SIFT
88,MAP Dataset,116.16666666666667,AGAST+SIFT
89,MAP Dataset,130.95,AGAST+SIFT
90,MAP Dataset,135.91666666666666,AGAST+SIFT
91,MAP Dataset,154.18333333333334,AGAST+SIFT
92,MAP Dataset,161.025,AGAST+SIFT
93,MAP Dataset,150.90833333333333,AGAST+SIFT
94,MAP Dataset,172.83333333333334,AGAST+SIFT
95,MAP Dataset,191.05833333333334,AGAST+SIFT
96,MAP Dataset,219.91666666666666,AGAST+SIFT
97,MAP Dataset,266.5,AGAST+SIFT
98,MAP Dataset,288.4,AGAST+SIFT
99,MAP Dataset,359.2416666666667,AGAST+SIFT
100,MAP Dataset,375.3666666666667,AGAST+SIFT
101,MAP Dataset,377.4,AGAST+SIFT
102,MAP Dataset,377.30833333333334,AGAST+SIFT
103,MAP Dataset,369.06666666666666,AGAST+SIFT
104,MAP Dataset,394.7416666666667,AGAST+SIFT
105,MAP Dataset,385.475,AGAST+SIFT
106,MAP Dataset,394.7,AGAST+SIFT
107,MAP Dataset,385.175,AGAST+SIFT
108,MAP Dataset,348.73333333333335,AGAST+SIFT
109,MAP Dataset,344.9166666666667,AGAST+SIFT
110,MAP Dataset,188.625,AGAST+SIFT
111,MAP Dataset,172.45833333333334,AGAST+SIFT
112,MAP Dataset,228.1,AGAST+SIFT
113,MAP Dataset,293.68333333333334,AGAST+SIFT
114,MAP Dataset,276.78333333333336,AGAST+SIFT
115,MAP Dataset,295.53333333333336,AGAST+SIFT
116,MAP Dataset,311.7916666666667,AGAST+SIFT
117,MAP Dataset,354.625,AGAST+SIFT
118,MAP Dataset,336.5083333333333,AGAST+SIFT
119,MAP Dataset,353.9583333333333,AGAST+SIFT
120,MAP Dataset,8.333333333333334,FAST+SIFT
121,MAP Dataset,8.333333333333334,FAST+SIFT
122,MAP Dataset,8.341666666666667,FAST+SIFT
123,MAP Dataset,8.333333333333334,FAST+SIFT
124,MAP Dataset,8.35,FAST+SIFT
125,MAP Dataset,8.341666666666667,FAST+SIFT
126,MAP Dataset,8.341666666666667,FAST+SIFT
127,MAP Dataset,8.333333333333334,FAST+SIFT
128,MAP Dataset,8.333333333333334,FAST+SIFT
129,MAP Dataset,8.333333333333334,FAST+SIFT
130,MAP Dataset,8.333333333333334,FAST+SIFT
131,MAP Dataset,8.333333333333334,FAST+SIFT
132,MAP Dataset,8.341666666666667,FAST+SIFT
133,MAP Dataset,8.333333333333334,FAST+SIFT
134,MAP Dataset,8.333333333333334,FAST+SIFT
135,MAP Dataset,8.333333333333334,FAST+SIFT
136,MAP Dataset,8.333333333333334,FAST+SIFT
137,MAP Dataset,8.333333333333334,FAST+SIFT
138,MAP Dataset,8.333333333333334,FAST+SIFT
139,MAP Dataset,8.333333333333334,FAST+SIFT
