,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,1717.55,AGAST+SIFT
1,MAP Dataset,1738.6166666666666,AGAST+SIFT
2,MAP Dataset,2009.25,AGAST+SIFT
3,MAP Dataset,2035.8833333333334,AGAST+SIFT
4,MAP Dataset,2228.1833333333334,AGAST+SIFT
5,MAP Dataset,2479.0666666666666,AGAST+SIFT
6,MAP Dataset,2532.733333333333,AGAST+SIFT
7,MAP Dataset,2600.35,AGAST+SIFT
8,MAP Dataset,2908.0333333333333,AGAST+SIFT
9,MAP Dataset,2719.65,AGAST+SIFT
10,MAP Dataset,3494.866666666667,AGAST+SIFT
11,MAP Dataset,3469.2,AGAST+SIFT
12,MAP Dataset,3046.5,AGAST+SIFT
13,MAP Dataset,2846.133333333333,AGAST+SIFT
14,MAP Dataset,2674.516666666667,AGAST+SIFT
15,MAP Dataset,2447.25,AGAST+SIFT
16,MAP Dataset,2414.616666666667,AGAST+SIFT
17,MAP Dataset,2382.1,AGAST+SIFT
18,MAP Dataset,2476.233333333333,AGAST+SIFT
19,MAP Dataset,2336.116666666667,AGAST+SIFT
20,MAP Dataset,2306.9666666666667,AGAST+SIFT
21,MAP Dataset,2819.366666666667,AGAST+SIFT
22,MAP Dataset,2578.9666666666667,AGAST+SIFT
23,MAP Dataset,2562.5833333333335,AGAST+SIFT
24,MAP Dataset,1922.4333333333334,AGAST+SIFT
25,MAP Dataset,2151.616666666667,AGAST+SIFT
26,MAP Dataset,2140.2,AGAST+SIFT
27,MAP Dataset,2303.4166666666665,AGAST+SIFT
28,MAP Dataset,2803.3,AGAST+SIFT
29,MAP Dataset,2498.8166666666666,AGAST+SIFT
30,MAP Dataset,2384.35,AGAST+SIFT
31,MAP Dataset,1894.9333333333334,AGAST+SIFT
32,MAP Dataset,1715.9,AGAST+SIFT
33,MAP Dataset,1700.8166666666666,AGAST+SIFT
34,MAP Dataset,2128.983333333333,AGAST+SIFT
35,MAP Dataset,2130.35,AGAST+SIFT
36,MAP Dataset,2015.0166666666667,AGAST+SIFT
37,MAP Dataset,1726.2666666666667,AGAST+SIFT
38,MAP Dataset,1866.15,AGAST+SIFT
39,MAP Dataset,1782.5333333333333,AGAST+SIFT
40,MAP Dataset,1799.9833333333333,AGAST+SIFT
41,MAP Dataset,1767.2833333333333,AGAST+SIFT
42,MAP Dataset,1949.8666666666666,AGAST+SIFT
43,MAP Dataset,1916.4666666666667,AGAST+SIFT
44,MAP Dataset,2137.3,AGAST+SIFT
45,MAP Dataset,2276.8166666666666,AGAST+SIFT
46,MAP Dataset,2389.35,AGAST+SIFT
47,MAP Dataset,2482.8166666666666,AGAST+SIFT
48,MAP Dataset,2727.25,AGAST+SIFT
49,MAP Dataset,2607.4333333333334,AGAST+SIFT
50,MAP Dataset,2878.9666666666667,AGAST+SIFT
51,MAP Dataset,2842.95,AGAST+SIFT
52,MAP Dataset,3073.866666666667,AGAST+SIFT
53,MAP Dataset,3440.1,AGAST+SIFT
54,MAP Dataset,3408.016666666667,AGAST+SIFT
55,MAP Dataset,4196.133333333333,AGAST+SIFT
56,MAP Dataset,3912.1833333333334,AGAST+SIFT
57,MAP Dataset,3809.6,AGAST+SIFT
58,MAP Dataset,3671.4166666666665,AGAST+SIFT
59,MAP Dataset,3587.0333333333333,AGAST+SIFT
60,MAP Dataset,33.333333333333336,FAST+SIFT
61,MAP Dataset,33.333333333333336,FAST+SIFT
62,MAP Dataset,33.333333333333336,FAST+SIFT
63,MAP Dataset,33.35,FAST+SIFT
64,MAP Dataset,33.333333333333336,FAST+SIFT
65,MAP Dataset,33.333333333333336,FAST+SIFT
66,MAP Dataset,33.333333333333336,FAST+SIFT
67,MAP Dataset,33.333333333333336,FAST+SIFT
68,MAP Dataset,33.333333333333336,FAST+SIFT
69,MAP Dataset,33.333333333333336,FAST+SIFT
70,MAP Dataset,33.333333333333336,FAST+SIFT
71,MAP Dataset,33.333333333333336,FAST+SIFT
72,MAP Dataset,33.333333333333336,FAST+SIFT
73,MAP Dataset,33.35,FAST+SIFT
74,MAP Dataset,33.333333333333336,FAST+SIFT
75,MAP Dataset,33.333333333333336,FAST+SIFT
76,MAP Dataset,33.35,FAST+SIFT
77,MAP Dataset,33.333333333333336,FAST+SIFT
78,MAP Dataset,33.333333333333336,FAST+SIFT
79,MAP Dataset,33.333333333333336,FAST+SIFT
80,MAP Dataset,33.333333333333336,FAST+SIFT
81,MAP Dataset,33.333333333333336,FAST+SIFT
82,MAP Dataset,33.35,FAST+SIFT
83,MAP Dataset,33.35,FAST+SIFT
84,MAP Dataset,33.35,FAST+SIFT
85,MAP Dataset,33.333333333333336,FAST+SIFT
86,MAP Dataset,33.36666666666667,FAST+SIFT
87,MAP Dataset,33.333333333333336,FAST+SIFT
88,MAP Dataset,33.333333333333336,FAST+SIFT
89,MAP Dataset,33.333333333333336,FAST+SIFT
90,MAP Dataset,33.333333333333336,FAST+SIFT
91,MAP Dataset,33.35,FAST+SIFT
92,MAP Dataset,33.333333333333336,FAST+SIFT
93,MAP Dataset,33.333333333333336,FAST+SIFT
94,MAP Dataset,33.35,FAST+SIFT
95,MAP Dataset,33.333333333333336,FAST+SIFT
96,MAP Dataset,33.333333333333336,FAST+SIFT
97,MAP Dataset,33.35,FAST+SIFT
98,MAP Dataset,33.333333333333336,FAST+SIFT
99,MAP Dataset,33.333333333333336,FAST+SIFT
100,MAP Dataset,33.333333333333336,FAST+SIFT
101,MAP Dataset,33.333333333333336,FAST+SIFT
102,MAP Dataset,33.333333333333336,FAST+SIFT
103,MAP Dataset,33.333333333333336,FAST+SIFT
104,MAP Dataset,33.333333333333336,FAST+SIFT
105,MAP Dataset,33.35,FAST+SIFT
106,MAP Dataset,33.333333333333336,FAST+SIFT
107,MAP Dataset,33.333333333333336,FAST+SIFT
108,MAP Dataset,33.333333333333336,FAST+SIFT
109,MAP Dataset,33.333333333333336,FAST+SIFT
110,MAP Dataset,33.333333333333336,FAST+SIFT
111,MAP Dataset,33.333333333333336,FAST+SIFT
112,MAP Dataset,33.35,FAST+SIFT
113,MAP Dataset,33.333333333333336,FAST+SIFT
114,MAP Dataset,33.333333333333336,FAST+SIFT
115,MAP Dataset,33.333333333333336,FAST+SIFT
116,MAP Dataset,33.333333333333336,FAST+SIFT
117,MAP Dataset,33.333333333333336,FAST+SIFT
118,MAP Dataset,33.333333333333336,FAST+SIFT
119,MAP Dataset,33.35,FAST+SIFT
120,MAP Dataset,2722.95,BRISK+FREAK
121,MAP Dataset,2711.6,BRISK+FREAK
122,MAP Dataset,2794.5333333333333,BRISK+FREAK
123,MAP Dataset,2774.983333333333,BRISK+FREAK
124,MAP Dataset,2810.383333333333,BRISK+FREAK
125,MAP Dataset,2876.4333333333334,BRISK+FREAK
126,MAP Dataset,2870.366666666667,BRISK+FREAK
127,MAP Dataset,2883.75,BRISK+FREAK
