,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,426.6,AGAST+SIFT
1,MAP Dataset,439.5833333333333,AGAST+SIFT
2,MAP Dataset,522.0666666666667,AGAST+SIFT
3,MAP Dataset,535.4833333333333,AGAST+SIFT
4,MAP Dataset,600.45,AGAST+SIFT
5,MAP Dataset,686.9,AGAST+SIFT
6,MAP Dataset,682.2666666666667,AGAST+SIFT
7,MAP Dataset,702.5166666666667,AGAST+SIFT
8,MAP Dataset,823.0833333333334,AGAST+SIFT
9,MAP Dataset,750.35,AGAST+SIFT
10,MAP Dataset,1033.2666666666667,AGAST+SIFT
11,MAP Dataset,1106.45,AGAST+SIFT
12,MAP Dataset,947.9333333333333,AGAST+SIFT
13,MAP Dataset,886.2333333333333,AGAST+SIFT
14,MAP Dataset,817.3666666666667,AGAST+SIFT
15,MAP Dataset,741.5333333333333,AGAST+SIFT
16,MAP Dataset,712.0,AGAST+SIFT
17,MAP Dataset,683.9833333333333,AGAST+SIFT
18,MAP Dataset,716.3833333333333,AGAST+SIFT
19,MAP Dataset,653.4166666666666,AGAST+SIFT
20,MAP Dataset,633.2833333333333,AGAST+SIFT
21,MAP Dataset,823.7166666666667,AGAST+SIFT
22,MAP Dataset,724.3,AGAST+SIFT
23,MAP Dataset,715.1333333333333,AGAST+SIFT
24,MAP Dataset,487.7,AGAST+SIFT
25,MAP Dataset,593.45,AGAST+SIFT
26,MAP Dataset,611.5166666666667,AGAST+SIFT
27,MAP Dataset,690.5,AGAST+SIFT
28,MAP Dataset,873.4,AGAST+SIFT
29,MAP Dataset,770.6,AGAST+SIFT
30,MAP Dataset,722.5166666666667,AGAST+SIFT
31,MAP Dataset,480.35,AGAST+SIFT
32,MAP Dataset,430.03333333333336,AGAST+SIFT
33,MAP Dataset,441.0,AGAST+SIFT
34,MAP Dataset,608.6166666666667,AGAST+SIFT
35,MAP Dataset,613.0166666666667,AGAST+SIFT
36,MAP Dataset,606.55,AGAST+SIFT
37,MAP Dataset,496.71666666666664,AGAST+SIFT
38,MAP Dataset,537.55,AGAST+SIFT
39,MAP Dataset,491.43333333333334,AGAST+SIFT
40,MAP Dataset,485.45,AGAST+SIFT
41,MAP Dataset,478.4166666666667,AGAST+SIFT
42,MAP Dataset,543.3833333333333,AGAST+SIFT
43,MAP Dataset,531.3666666666667,AGAST+SIFT
44,MAP Dataset,603.75,AGAST+SIFT
45,MAP Dataset,654.35,AGAST+SIFT
46,MAP Dataset,671.05,AGAST+SIFT
47,MAP Dataset,691.5166666666667,AGAST+SIFT
48,MAP Dataset,769.5166666666667,AGAST+SIFT
49,MAP Dataset,710.05,AGAST+SIFT
50,MAP Dataset,828.3166666666667,AGAST+SIFT
51,MAP Dataset,842.4,AGAST+SIFT
52,MAP Dataset,955.2,AGAST+SIFT
53,MAP Dataset,1134.0833333333333,AGAST+SIFT
54,MAP Dataset,1158.7,AGAST+SIFT
55,MAP Dataset,1559.7833333333333,AGAST+SIFT
56,MAP Dataset,1637.85,AGAST+SIFT
57,MAP Dataset,1577.75,AGAST+SIFT
58,MAP Dataset,1424.4166666666667,AGAST+SIFT
59,MAP Dataset,1341.0,AGAST+SIFT
60,MAP Dataset,33.333333333333336,FAST+SIFT
61,MAP Dataset,33.333333333333336,FAST+SIFT
62,MAP Dataset,33.333333333333336,FAST+SIFT
63,MAP Dataset,33.35,FAST+SIFT
64,MAP Dataset,33.333333333333336,FAST+SIFT
65,MAP Dataset,33.333333333333336,FAST+SIFT
66,MAP Dataset,33.333333333333336,FAST+SIFT
67,MAP Dataset,33.333333333333336,FAST+SIFT
68,MAP Dataset,33.333333333333336,FAST+SIFT
69,MAP Dataset,33.333333333333336,FAST+SIFT
70,MAP Dataset,33.333333333333336,FAST+SIFT
