,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,845.775,AGAST+SIFT
1,MAP Dataset,873.2083333333334,AGAST+SIFT
2,MAP Dataset,888.3083333333333,AGAST+SIFT
3,MAP Dataset,928.525,AGAST+SIFT
4,MAP Dataset,933.2666666666667,AGAST+SIFT
5,MAP Dataset,965.2,AGAST+SIFT
6,MAP Dataset,813.95,AGAST+SIFT
7,MAP Dataset,799.125,AGAST+SIFT
8,MAP Dataset,726.7583333333333,AGAST+SIFT
9,MAP Dataset,676.5916666666667,AGAST+SIFT
10,MAP Dataset,670.775,AGAST+SIFT
11,MAP Dataset,620.0,AGAST+SIFT
12,MAP Dataset,635.725,AGAST+SIFT
13,MAP Dataset,592.4666666666667,AGAST+SIFT
14,MAP Dataset,571.3,AGAST+SIFT
15,MAP Dataset,549.4833333333333,AGAST+SIFT
16,MAP Dataset,509.5083333333333,AGAST+SIFT
17,MAP Dataset,458.90833333333336,AGAST+SIFT
18,MAP Dataset,459.5,AGAST+SIFT
19,MAP Dataset,425.53333333333336,AGAST+SIFT
20,MAP Dataset,437.06666666666666,AGAST+SIFT
21,MAP Dataset,438.4916666666667,AGAST+SIFT
22,MAP Dataset,453.5,AGAST+SIFT
23,MAP Dataset,420.3,AGAST+SIFT
24,MAP Dataset,468.5,AGAST+SIFT
25,MAP Dataset,492.89166666666665,AGAST+SIFT
26,MAP Dataset,495.8833333333333,AGAST+SIFT
27,MAP Dataset,414.1166666666667,AGAST+SIFT
28,MAP Dataset,419.65833333333336,AGAST+SIFT
29,MAP Dataset,451.7,AGAST+SIFT
30,MAP Dataset,417.7416666666667,AGAST+SIFT
31,MAP Dataset,423.5083333333333,AGAST+SIFT
32,MAP Dataset,480.2916666666667,AGAST+SIFT
33,MAP Dataset,490.2416666666667,AGAST+SIFT
34,MAP Dataset,530.075,AGAST+SIFT
35,MAP Dataset,583.3583333333333,AGAST+SIFT
36,MAP Dataset,595.4916666666667,AGAST+SIFT
37,MAP Dataset,611.9833333333333,AGAST+SIFT
38,MAP Dataset,667.9333333333333,AGAST+SIFT
39,MAP Dataset,629.2666666666667,AGAST+SIFT
40,MAP Dataset,767.725,AGAST+SIFT
41,MAP Dataset,788.8166666666667,AGAST+SIFT
42,MAP Dataset,707.3083333333333,AGAST+SIFT
43,MAP Dataset,667.3916666666667,AGAST+SIFT
44,MAP Dataset,629.4583333333334,AGAST+SIFT
45,MAP Dataset,589.1416666666667,AGAST+SIFT
46,MAP Dataset,577.0916666666667,AGAST+SIFT
47,MAP Dataset,569.0666666666667,AGAST+SIFT
48,MAP Dataset,586.35,AGAST+SIFT
49,MAP Dataset,555.2166666666667,AGAST+SIFT
50,MAP Dataset,535.925,AGAST+SIFT
51,MAP Dataset,633.0083333333333,AGAST+SIFT
52,MAP Dataset,576.0583333333333,AGAST+SIFT
53,MAP Dataset,574.0083333333333,AGAST+SIFT
54,MAP Dataset,459.1166666666667,AGAST+SIFT
55,MAP Dataset,514.75,AGAST+SIFT
56,MAP Dataset,521.325,AGAST+SIFT
57,MAP Dataset,564.475,AGAST+SIFT
58,MAP Dataset,653.3416666666667,AGAST+SIFT
59,MAP Dataset,587.6666666666666,AGAST+SIFT
60,MAP Dataset,554.7,AGAST+SIFT
61,MAP Dataset,863.425,AGAST+SIFT
62,MAP Dataset,772.9416666666667,AGAST+SIFT
63,MAP Dataset,755.075,AGAST+SIFT
64,MAP Dataset,655.9833333333333,AGAST+SIFT
65,MAP Dataset,709.15,AGAST+SIFT
66,MAP Dataset,651.4666666666667,AGAST+SIFT
67,MAP Dataset,607.95,AGAST+SIFT
68,MAP Dataset,571.6666666666666,AGAST+SIFT
69,MAP Dataset,535.2333333333333,AGAST+SIFT
70,MAP Dataset,534.075,AGAST+SIFT
71,MAP Dataset,466.68333333333334,AGAST+SIFT
72,MAP Dataset,439.5083333333333,AGAST+SIFT
73,MAP Dataset,410.425,AGAST+SIFT
74,MAP Dataset,406.09166666666664,AGAST+SIFT
75,MAP Dataset,389.625,AGAST+SIFT
76,MAP Dataset,394.5,AGAST+SIFT
77,MAP Dataset,404.2416666666667,AGAST+SIFT
78,MAP Dataset,345.4583333333333,AGAST+SIFT
79,MAP Dataset,362.64166666666665,AGAST+SIFT
80,MAP Dataset,378.85833333333335,AGAST+SIFT
81,MAP Dataset,418.675,AGAST+SIFT
82,MAP Dataset,356.625,AGAST+SIFT
83,MAP Dataset,357.85833333333335,AGAST+SIFT
84,MAP Dataset,366.5416666666667,AGAST+SIFT
85,MAP Dataset,370.39166666666665,AGAST+SIFT
86,MAP Dataset,384.85833333333335,AGAST+SIFT
87,MAP Dataset,401.45,AGAST+SIFT
88,MAP Dataset,446.76666666666665,AGAST+SIFT
89,MAP Dataset,499.26666666666665,AGAST+SIFT
90,MAP Dataset,522.4833333333333,AGAST+SIFT
91,MAP Dataset,569.775,AGAST+SIFT
92,MAP Dataset,585.175,AGAST+SIFT
93,MAP Dataset,571.0333333333333,AGAST+SIFT
94,MAP Dataset,622.6416666666667,AGAST+SIFT
95,MAP Dataset,664.7,AGAST+SIFT
96,MAP Dataset,730.7916666666666,AGAST+SIFT
97,MAP Dataset,811.425,AGAST+SIFT
98,MAP Dataset,848.3916666666667,AGAST+SIFT
99,MAP Dataset,994.7583333333333,AGAST+SIFT
100,MAP Dataset,1021.225,AGAST+SIFT
101,MAP Dataset,992.5083333333333,AGAST+SIFT
102,MAP Dataset,963.5416666666666,AGAST+SIFT
103,MAP Dataset,913.9666666666667,AGAST+SIFT
104,MAP Dataset,949.7833333333333,AGAST+SIFT
105,MAP Dataset,901.425,AGAST+SIFT
106,MAP Dataset,893.5416666666666,AGAST+SIFT
107,MAP Dataset,872.5833333333334,AGAST+SIFT
108,MAP Dataset,809.3,AGAST+SIFT
109,MAP Dataset,797.1833333333333,AGAST+SIFT
110,MAP Dataset,501.5416666666667,AGAST+SIFT
111,MAP Dataset,479.3333333333333,AGAST+SIFT
112,MAP Dataset,622.725,AGAST+SIFT
113,MAP Dataset,753.65,AGAST+SIFT
114,MAP Dataset,674.25,AGAST+SIFT
115,MAP Dataset,690.6333333333333,AGAST+SIFT
116,MAP Dataset,716.425,AGAST+SIFT
117,MAP Dataset,811.1416666666667,AGAST+SIFT
118,MAP Dataset,801.6666666666666,AGAST+SIFT
119,MAP Dataset,870.7,AGAST+SIFT
120,MAP Dataset,16.666666666666668,FAST+SIFT
121,MAP Dataset,16.675,FAST+SIFT
122,MAP Dataset,16.666666666666668,FAST+SIFT
123,MAP Dataset,16.666666666666668,FAST+SIFT
124,MAP Dataset,16.666666666666668,FAST+SIFT
125,MAP Dataset,16.666666666666668,FAST+SIFT
126,MAP Dataset,16.666666666666668,FAST+SIFT
127,MAP Dataset,16.666666666666668,FAST+SIFT
128,MAP Dataset,16.666666666666668,FAST+SIFT
129,MAP Dataset,16.666666666666668,FAST+SIFT
130,MAP Dataset,16.666666666666668,FAST+SIFT
131,MAP Dataset,16.666666666666668,FAST+SIFT
132,MAP Dataset,16.666666666666668,FAST+SIFT
133,MAP Dataset,16.666666666666668,FAST+SIFT
134,MAP Dataset,16.683333333333334,FAST+SIFT
135,MAP Dataset,16.666666666666668,FAST+SIFT
136,MAP Dataset,16.666666666666668,FAST+SIFT
137,MAP Dataset,16.666666666666668,FAST+SIFT
138,MAP Dataset,16.666666666666668,FAST+SIFT
139,MAP Dataset,16.666666666666668,FAST+SIFT
140,MAP Dataset,16.666666666666668,FAST+SIFT
141,MAP Dataset,16.675,FAST+SIFT
142,MAP Dataset,16.675,FAST+SIFT
143,MAP Dataset,16.666666666666668,FAST+SIFT
144,MAP Dataset,16.666666666666668,FAST+SIFT
145,MAP Dataset,16.666666666666668,FAST+SIFT
146,MAP Dataset,16.683333333333334,FAST+SIFT
147,MAP Dataset,16.666666666666668,FAST+SIFT
148,MAP Dataset,16.666666666666668,FAST+SIFT
149,MAP Dataset,16.675,FAST+SIFT
150,MAP Dataset,16.666666666666668,FAST+SIFT
151,MAP Dataset,16.666666666666668,FAST+SIFT
152,MAP Dataset,16.666666666666668,FAST+SIFT
153,MAP Dataset,16.675,FAST+SIFT
154,MAP Dataset,16.666666666666668,FAST+SIFT
