,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,150.85,AGAST+SIFT
1,Small Village Dataset,180.53333333333333,AGAST+SIFT
2,Small Village Dataset,182.53333333333333,AGAST+SIFT
3,Small Village Dataset,156.80833333333334,AGAST+SIFT
4,Small Village Dataset,155.0,AGAST+SIFT
5,Small Village Dataset,159.825,AGAST+SIFT
6,Small Village Dataset,179.45833333333334,AGAST+SIFT
7,Small Village Dataset,168.95833333333334,AGAST+SIFT
8,Small Village Dataset,150.95833333333334,AGAST+SIFT
9,Small Village Dataset,163.16666666666666,AGAST+SIFT
10,Small Village Dataset,171.84166666666667,AGAST+SIFT
11,Small Village Dataset,165.7,AGAST+SIFT
12,Small Village Dataset,162.74166666666667,AGAST+SIFT
13,Small Village Dataset,229.93333333333334,AGAST+SIFT
14,Small Village Dataset,340.48333333333335,AGAST+SIFT
15,Small Village Dataset,193.74166666666667,AGAST+SIFT
16,Small Village Dataset,155.23333333333332,AGAST+SIFT
17,Small Village Dataset,163.58333333333334,AGAST+SIFT
18,Small Village Dataset,190.15833333333333,AGAST+SIFT
19,Small Village Dataset,168.89166666666668,AGAST+SIFT
20,Small Village Dataset,177.86666666666667,AGAST+SIFT
21,Small Village Dataset,186.39166666666668,AGAST+SIFT
22,Small Village Dataset,226.475,AGAST+SIFT
23,Small Village Dataset,168.98333333333332,AGAST+SIFT
24,Small Village Dataset,141.08333333333334,AGAST+SIFT
25,Small Village Dataset,145.34166666666667,AGAST+SIFT
26,Small Village Dataset,176.70833333333334,AGAST+SIFT
27,Small Village Dataset,169.15,AGAST+SIFT
28,Small Village Dataset,185.0,AGAST+SIFT
29,Small Village Dataset,285.40833333333336,AGAST+SIFT
30,Small Village Dataset,219.14166666666668,AGAST+SIFT
31,Small Village Dataset,165.43333333333334,AGAST+SIFT
32,Small Village Dataset,127.38333333333334,AGAST+SIFT
33,Small Village Dataset,135.35833333333332,AGAST+SIFT
34,Small Village Dataset,131.54166666666666,AGAST+SIFT
35,Small Village Dataset,144.025,AGAST+SIFT
36,Small Village Dataset,182.925,AGAST+SIFT
37,Small Village Dataset,217.64166666666668,AGAST+SIFT
38,Small Village Dataset,147.5,AGAST+SIFT
39,Small Village Dataset,112.61666666666666,AGAST+SIFT
40,Small Village Dataset,68.71666666666667,AGAST+SIFT
41,Small Village Dataset,96.06666666666666,AGAST+SIFT
42,Small Village Dataset,126.06666666666666,AGAST+SIFT
43,Small Village Dataset,179.05833333333334,AGAST+SIFT
44,Small Village Dataset,264.55,AGAST+SIFT
45,Small Village Dataset,385.6,AGAST+SIFT
46,Small Village Dataset,247.2,AGAST+SIFT
47,Small Village Dataset,156.15,AGAST+SIFT
48,Small Village Dataset,126.36666666666666,AGAST+SIFT
49,Small Village Dataset,78.825,AGAST+SIFT
50,Small Village Dataset,98.04166666666667,AGAST+SIFT
51,Small Village Dataset,125.09166666666667,AGAST+SIFT
52,Small Village Dataset,180.775,AGAST+SIFT
53,Small Village Dataset,224.14166666666668,AGAST+SIFT
54,Small Village Dataset,209.48333333333332,AGAST+SIFT
55,Small Village Dataset,149.36666666666667,AGAST+SIFT
56,Small Village Dataset,118.3,AGAST+SIFT
57,Small Village Dataset,111.58333333333333,AGAST+SIFT
58,Small Village Dataset,97.21666666666667,AGAST+SIFT
59,Small Village Dataset,180.86666666666667,AGAST+SIFT
60,Small Village Dataset,266.425,AGAST+SIFT
61,Small Village Dataset,186.65833333333333,AGAST+SIFT
62,Small Village Dataset,248.80833333333334,AGAST+SIFT
63,Small Village Dataset,176.80833333333334,AGAST+SIFT
64,Small Village Dataset,169.26666666666668,AGAST+SIFT
65,Small Village Dataset,177.00833333333333,AGAST+SIFT
66,Small Village Dataset,181.38333333333333,AGAST+SIFT
67,Small Village Dataset,162.84166666666667,AGAST+SIFT
68,Small Village Dataset,142.40833333333333,AGAST+SIFT
69,Small Village Dataset,119.36666666666666,AGAST+SIFT
70,Small Village Dataset,109.88333333333334,AGAST+SIFT
71,Small Village Dataset,115.1,AGAST+SIFT
72,Small Village Dataset,158.95833333333334,AGAST+SIFT
73,Small Village Dataset,172.44166666666666,AGAST+SIFT
74,Small Village Dataset,184.61666666666667,AGAST+SIFT
75,Small Village Dataset,180.80833333333334,AGAST+SIFT
76,Small Village Dataset,141.65,AGAST+SIFT
77,Small Village Dataset,140.41666666666666,AGAST+SIFT
78,Small Village Dataset,173.45833333333334,AGAST+SIFT
79,Small Village Dataset,133.51666666666668,AGAST+SIFT
80,Small Village Dataset,134.75833333333333,AGAST+SIFT
81,Small Village Dataset,199.91666666666666,AGAST+SIFT
82,Small Village Dataset,185.175,AGAST+SIFT
83,Small Village Dataset,159.25833333333333,AGAST+SIFT
84,Small Village Dataset,143.99166666666667,AGAST+SIFT
85,Small Village Dataset,102.88333333333334,AGAST+SIFT
86,Small Village Dataset,45.96666666666667,AGAST+SIFT
87,Small Village Dataset,79.06666666666666,AGAST+SIFT
88,Small Village Dataset,169.04166666666666,AGAST+SIFT
89,Small Village Dataset,207.075,AGAST+SIFT
90,Small Village Dataset,198.30833333333334,AGAST+SIFT
91,Small Village Dataset,199.075,AGAST+SIFT
92,Small Village Dataset,144.21666666666667,AGAST+SIFT
93,Small Village Dataset,106.08333333333333,AGAST+SIFT
94,Small Village Dataset,188.675,AGAST+SIFT
95,Small Village Dataset,149.45,AGAST+SIFT
96,Small Village Dataset,145.85,AGAST+SIFT
97,Small Village Dataset,185.50833333333333,AGAST+SIFT
98,Small Village Dataset,204.15833333333333,AGAST+SIFT
99,Small Village Dataset,185.24166666666667,AGAST+SIFT
100,Small Village Dataset,173.50833333333333,AGAST+SIFT
101,Small Village Dataset,119.56666666666666,AGAST+SIFT
102,Small Village Dataset,5.616666666666666,AGAST+SIFT
103,Small Village Dataset,91.80833333333334,AGAST+SIFT
104,Small Village Dataset,179.74166666666667,AGAST+SIFT
105,Small Village Dataset,215.24166666666667,AGAST+SIFT
106,Small Village Dataset,191.83333333333334,AGAST+SIFT
107,Small Village Dataset,167.84166666666667,AGAST+SIFT
108,Small Village Dataset,135.25,AGAST+SIFT
109,Small Village Dataset,91.08333333333333,AGAST+SIFT
110,Small Village Dataset,156.825,AGAST+SIFT
111,Small Village Dataset,88.38333333333334,AGAST+SIFT
112,Small Village Dataset,140.64166666666668,AGAST+SIFT
113,Small Village Dataset,167.675,AGAST+SIFT
114,Small Village Dataset,186.55833333333334,AGAST+SIFT
115,Small Village Dataset,176.075,AGAST+SIFT
116,Small Village Dataset,157.53333333333333,AGAST+SIFT
117,Small Village Dataset,112.78333333333333,AGAST+SIFT
118,Small Village Dataset,45.141666666666666,AGAST+SIFT
119,Small Village Dataset,80.14166666666667,AGAST+SIFT
120,Small Village Dataset,8.333333333333334,FAST+SIFT
121,Small Village Dataset,8.333333333333334,FAST+SIFT
122,Small Village Dataset,8.333333333333334,FAST+SIFT
123,Small Village Dataset,8.333333333333334,FAST+SIFT
124,Small Village Dataset,8.333333333333334,FAST+SIFT
125,Small Village Dataset,8.333333333333334,FAST+SIFT
126,Small Village Dataset,8.333333333333334,FAST+SIFT
127,Small Village Dataset,8.333333333333334,FAST+SIFT
128,Small Village Dataset,8.333333333333334,FAST+SIFT
129,Small Village Dataset,8.333333333333334,FAST+SIFT
130,Small Village Dataset,8.341666666666667,FAST+SIFT
131,Small Village Dataset,8.333333333333334,FAST+SIFT
132,Small Village Dataset,8.333333333333334,FAST+SIFT
133,Small Village Dataset,8.333333333333334,FAST+SIFT
134,Small Village Dataset,8.333333333333334,FAST+SIFT
135,Small Village Dataset,8.333333333333334,FAST+SIFT
136,Small Village Dataset,8.333333333333334,FAST+SIFT
137,Small Village Dataset,8.333333333333334,FAST+SIFT
138,Small Village Dataset,8.333333333333334,FAST+SIFT
139,Small Village Dataset,8.333333333333334,FAST+SIFT
140,Small Village Dataset,8.333333333333334,FAST+SIFT
141,Small Village Dataset,8.341666666666667,FAST+SIFT
142,Small Village Dataset,8.333333333333334,FAST+SIFT
143,Small Village Dataset,8.333333333333334,FAST+SIFT
144,Small Village Dataset,8.333333333333334,FAST+SIFT
145,Small Village Dataset,8.333333333333334,FAST+SIFT
146,Small Village Dataset,8.333333333333334,FAST+SIFT
147,Small Village Dataset,8.333333333333334,FAST+SIFT
148,Small Village Dataset,8.333333333333334,FAST+SIFT
149,Small Village Dataset,8.333333333333334,FAST+SIFT
150,Small Village Dataset,8.333333333333334,FAST+SIFT
151,Small Village Dataset,8.333333333333334,FAST+SIFT
152,Small Village Dataset,8.333333333333334,FAST+SIFT
153,Small Village Dataset,8.333333333333334,FAST+SIFT
154,Small Village Dataset,8.333333333333334,FAST+SIFT
155,Small Village Dataset,8.333333333333334,FAST+SIFT
156,Small Village Dataset,8.333333333333334,FAST+SIFT
157,Small Village Dataset,8.333333333333334,FAST+SIFT
158,Small Village Dataset,8.333333333333334,FAST+SIFT
159,Small Village Dataset,8.333333333333334,FAST+SIFT
160,Small Village Dataset,8.333333333333334,FAST+SIFT
161,Small Village Dataset,8.333333333333334,FAST+SIFT
162,Small Village Dataset,8.333333333333334,FAST+SIFT
163,Small Village Dataset,8.333333333333334,FAST+SIFT
164,Small Village Dataset,8.333333333333334,FAST+SIFT
165,Small Village Dataset,8.333333333333334,FAST+SIFT
166,Small Village Dataset,8.333333333333334,FAST+SIFT
