,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,72.00833333333334,AGAST+SIFT
1,Small Village Dataset,95.94166666666666,AGAST+SIFT
2,Small Village Dataset,98.70833333333333,AGAST+SIFT
3,Small Village Dataset,84.35,AGAST+SIFT
4,Small Village Dataset,79.80833333333334,AGAST+SIFT
5,Small Village Dataset,63.03333333333333,AGAST+SIFT
6,Small Village Dataset,63.425,AGAST+SIFT
7,Small Village Dataset,69.15,AGAST+SIFT
8,Small Village Dataset,72.525,AGAST+SIFT
9,Small Village Dataset,85.09166666666667,AGAST+SIFT
10,Small Village Dataset,90.71666666666667,AGAST+SIFT
11,Small Village Dataset,86.83333333333333,AGAST+SIFT
12,Small Village Dataset,78.01666666666667,AGAST+SIFT
13,Small Village Dataset,83.70833333333333,AGAST+SIFT
14,Small Village Dataset,121.6,AGAST+SIFT
15,Small Village Dataset,64.14166666666667,AGAST+SIFT
16,Small Village Dataset,61.95,AGAST+SIFT
17,Small Village Dataset,80.34166666666667,AGAST+SIFT
18,Small Village Dataset,98.05833333333334,AGAST+SIFT
19,Small Village Dataset,90.225,AGAST+SIFT
20,Small Village Dataset,82.45833333333333,AGAST+SIFT
21,Small Village Dataset,70.91666666666667,AGAST+SIFT
22,Small Village Dataset,81.15833333333333,AGAST+SIFT
23,Small Village Dataset,66.79166666666667,AGAST+SIFT
24,Small Village Dataset,70.31666666666666,AGAST+SIFT
25,Small Village Dataset,73.40833333333333,AGAST+SIFT
26,Small Village Dataset,86.24166666666666,AGAST+SIFT
27,Small Village Dataset,73.95,AGAST+SIFT
28,Small Village Dataset,61.18333333333333,AGAST+SIFT
29,Small Village Dataset,108.86666666666666,AGAST+SIFT
30,Small Village Dataset,78.6,AGAST+SIFT
31,Small Village Dataset,69.11666666666666,AGAST+SIFT
32,Small Village Dataset,61.69166666666667,AGAST+SIFT
33,Small Village Dataset,67.86666666666666,AGAST+SIFT
34,Small Village Dataset,60.99166666666667,AGAST+SIFT
35,Small Village Dataset,60.125,AGAST+SIFT
36,Small Village Dataset,63.40833333333333,AGAST+SIFT
37,Small Village Dataset,64.825,AGAST+SIFT
38,Small Village Dataset,43.875,AGAST+SIFT
39,Small Village Dataset,33.525,AGAST+SIFT
40,Small Village Dataset,26.633333333333333,AGAST+SIFT
41,Small Village Dataset,46.71666666666667,AGAST+SIFT
42,Small Village Dataset,56.9,AGAST+SIFT
43,Small Village Dataset,74.24166666666666,AGAST+SIFT
44,Small Village Dataset,97.18333333333334,AGAST+SIFT
45,Small Village Dataset,142.71666666666667,AGAST+SIFT
46,Small Village Dataset,84.125,AGAST+SIFT
47,Small Village Dataset,55.666666666666664,AGAST+SIFT
48,Small Village Dataset,54.78333333333333,AGAST+SIFT
49,Small Village Dataset,34.333333333333336,AGAST+SIFT
50,Small Village Dataset,30.825,AGAST+SIFT
51,Small Village Dataset,32.93333333333333,AGAST+SIFT
52,Small Village Dataset,47.96666666666667,AGAST+SIFT
53,Small Village Dataset,59.875,AGAST+SIFT
54,Small Village Dataset,52.475,AGAST+SIFT
55,Small Village Dataset,34.94166666666667,AGAST+SIFT
56,Small Village Dataset,30.925,AGAST+SIFT
57,Small Village Dataset,39.3,AGAST+SIFT
58,Small Village Dataset,31.616666666666667,AGAST+SIFT
59,Small Village Dataset,48.983333333333334,AGAST+SIFT
60,Small Village Dataset,77.2,AGAST+SIFT
61,Small Village Dataset,66.5,AGAST+SIFT
62,Small Village Dataset,81.03333333333333,AGAST+SIFT
63,Small Village Dataset,63.775,AGAST+SIFT
64,Small Village Dataset,81.24166666666666,AGAST+SIFT
65,Small Village Dataset,96.625,AGAST+SIFT
66,Small Village Dataset,97.85,AGAST+SIFT
67,Small Village Dataset,89.10833333333333,AGAST+SIFT
68,Small Village Dataset,72.65,AGAST+SIFT
69,Small Village Dataset,52.88333333333333,AGAST+SIFT
70,Small Village Dataset,42.78333333333333,AGAST+SIFT
71,Small Village Dataset,50.96666666666667,AGAST+SIFT
72,Small Village Dataset,80.05833333333334,AGAST+SIFT
73,Small Village Dataset,91.14166666666667,AGAST+SIFT
74,Small Village Dataset,99.45833333333333,AGAST+SIFT
75,Small Village Dataset,94.45833333333333,AGAST+SIFT
76,Small Village Dataset,69.24166666666666,AGAST+SIFT
77,Small Village Dataset,48.208333333333336,AGAST+SIFT
78,Small Village Dataset,58.05,AGAST+SIFT
79,Small Village Dataset,43.333333333333336,AGAST+SIFT
80,Small Village Dataset,65.26666666666667,AGAST+SIFT
81,Small Village Dataset,104.11666666666666,AGAST+SIFT
82,Small Village Dataset,97.78333333333333,AGAST+SIFT
83,Small Village Dataset,82.15833333333333,AGAST+SIFT
84,Small Village Dataset,71.21666666666667,AGAST+SIFT
85,Small Village Dataset,46.458333333333336,AGAST+SIFT
86,Small Village Dataset,18.691666666666666,AGAST+SIFT
87,Small Village Dataset,33.61666666666667,AGAST+SIFT
88,Small Village Dataset,81.3,AGAST+SIFT
89,Small Village Dataset,98.23333333333333,AGAST+SIFT
90,Small Village Dataset,100.89166666666667,AGAST+SIFT
91,Small Village Dataset,100.08333333333333,AGAST+SIFT
92,Small Village Dataset,65.46666666666667,AGAST+SIFT
93,Small Village Dataset,37.4,AGAST+SIFT
94,Small Village Dataset,56.475,AGAST+SIFT
95,Small Village Dataset,43.81666666666667,AGAST+SIFT
96,Small Village Dataset,60.35,AGAST+SIFT
97,Small Village Dataset,89.81666666666666,AGAST+SIFT
98,Small Village Dataset,102.275,AGAST+SIFT
99,Small Village Dataset,87.70833333333333,AGAST+SIFT
100,Small Village Dataset,85.91666666666667,AGAST+SIFT
101,Small Village Dataset,56.71666666666667,AGAST+SIFT
102,Small Village Dataset,1.6083333333333334,AGAST+SIFT
103,Small Village Dataset,40.03333333333333,AGAST+SIFT
104,Small Village Dataset,91.15833333333333,AGAST+SIFT
105,Small Village Dataset,104.01666666666667,AGAST+SIFT
106,Small Village Dataset,96.11666666666666,AGAST+SIFT
107,Small Village Dataset,79.53333333333333,AGAST+SIFT
108,Small Village Dataset,47.75,AGAST+SIFT
109,Small Village Dataset,22.075,AGAST+SIFT
110,Small Village Dataset,45.275,AGAST+SIFT
111,Small Village Dataset,24.858333333333334,AGAST+SIFT
112,Small Village Dataset,50.69166666666667,AGAST+SIFT
113,Small Village Dataset,77.05,AGAST+SIFT
114,Small Village Dataset,94.80833333333334,AGAST+SIFT
115,Small Village Dataset,84.24166666666666,AGAST+SIFT
116,Small Village Dataset,76.64166666666667,AGAST+SIFT
117,Small Village Dataset,51.925,AGAST+SIFT
118,Small Village Dataset,19.033333333333335,AGAST+SIFT
