,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,236.925,AGAST+SIFT
1,Small Village Dataset,270.0,AGAST+SIFT
2,Small Village Dataset,274.75,AGAST+SIFT
3,Small Village Dataset,236.04166666666666,AGAST+SIFT
4,Small Village Dataset,236.71666666666667,AGAST+SIFT
5,Small Village Dataset,259.9916666666667,AGAST+SIFT
6,Small Village Dataset,324.75,AGAST+SIFT
7,Small Village Dataset,295.7416666666667,AGAST+SIFT
8,Small Village Dataset,237.88333333333333,AGAST+SIFT
9,Small Village Dataset,239.05833333333334,AGAST+SIFT
10,Small Village Dataset,252.09166666666667,AGAST+SIFT
11,Small Village Dataset,255.1,AGAST+SIFT
12,Small Village Dataset,255.4,AGAST+SIFT
13,Small Village Dataset,438.2083333333333,AGAST+SIFT
14,Small Village Dataset,700.1833333333333,AGAST+SIFT
15,Small Village Dataset,368.4166666666667,AGAST+SIFT
16,Small Village Dataset,265.0083333333333,AGAST+SIFT
17,Small Village Dataset,255.70833333333334,AGAST+SIFT
18,Small Village Dataset,291.2916666666667,AGAST+SIFT
19,Small Village Dataset,257.4166666666667,AGAST+SIFT
20,Small Village Dataset,287.1666666666667,AGAST+SIFT
21,Small Village Dataset,343.09166666666664,AGAST+SIFT
22,Small Village Dataset,433.325,AGAST+SIFT
23,Small Village Dataset,309.76666666666665,AGAST+SIFT
24,Small Village Dataset,219.36666666666667,AGAST+SIFT
25,Small Village Dataset,219.10833333333332,AGAST+SIFT
26,Small Village Dataset,280.43333333333334,AGAST+SIFT
27,Small Village Dataset,275.775,AGAST+SIFT
28,Small Village Dataset,349.4583333333333,AGAST+SIFT
29,Small Village Dataset,526.6666666666666,AGAST+SIFT
30,Small Village Dataset,415.1666666666667,AGAST+SIFT
31,Small Village Dataset,278.30833333333334,AGAST+SIFT
32,Small Village Dataset,194.99166666666667,AGAST+SIFT
33,Small Village Dataset,206.80833333333334,AGAST+SIFT
34,Small Village Dataset,218.8,AGAST+SIFT
35,Small Village Dataset,256.6,AGAST+SIFT
36,Small Village Dataset,351.3833333333333,AGAST+SIFT
37,Small Village Dataset,442.2416666666667,AGAST+SIFT
38,Small Village Dataset,306.31666666666666,AGAST+SIFT
39,Small Village Dataset,216.53333333333333,AGAST+SIFT
40,Small Village Dataset,119.30833333333334,AGAST+SIFT
41,Small Village Dataset,147.625,AGAST+SIFT
42,Small Village Dataset,201.8,AGAST+SIFT
43,Small Village Dataset,318.9583333333333,AGAST+SIFT
44,Small Village Dataset,499.325,AGAST+SIFT
45,Small Village Dataset,769.6083333333333,AGAST+SIFT
46,Small Village Dataset,489.68333333333334,AGAST+SIFT
47,Small Village Dataset,295.96666666666664,AGAST+SIFT
48,Small Village Dataset,219.28333333333333,AGAST+SIFT
49,Small Village Dataset,126.40833333333333,AGAST+SIFT
50,Small Village Dataset,197.99166666666667,AGAST+SIFT
51,Small Village Dataset,258.975,AGAST+SIFT
52,Small Village Dataset,377.7,AGAST+SIFT
53,Small Village Dataset,472.23333333333335,AGAST+SIFT
54,Small Village Dataset,458.01666666666665,AGAST+SIFT
