,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,106.63333333333334,AGAST+SIFT
1,Small Village Dataset,138.3,AGAST+SIFT
2,Small Village Dataset,142.475,AGAST+SIFT
3,Small Village Dataset,122.73333333333333,AGAST+SIFT
4,Small Village Dataset,114.39166666666667,AGAST+SIFT
5,Small Village Dataset,99.26666666666667,AGAST+SIFT
6,Small Village Dataset,113.95,AGAST+SIFT
7,Small Village Dataset,114.16666666666667,AGAST+SIFT
8,Small Village Dataset,108.40833333333333,AGAST+SIFT
9,Small Village Dataset,121.175,AGAST+SIFT
10,Small Village Dataset,129.71666666666667,AGAST+SIFT
11,Small Village Dataset,129.2,AGAST+SIFT
12,Small Village Dataset,114.575,AGAST+SIFT
13,Small Village Dataset,159.83333333333334,AGAST+SIFT
14,Small Village Dataset,252.15833333333333,AGAST+SIFT
15,Small Village Dataset,120.06666666666666,AGAST+SIFT
16,Small Village Dataset,100.825,AGAST+SIFT
17,Small Village Dataset,119.81666666666666,AGAST+SIFT
18,Small Village Dataset,145.03333333333333,AGAST+SIFT
19,Small Village Dataset,133.74166666666667,AGAST+SIFT
20,Small Village Dataset,126.04166666666667,AGAST+SIFT
21,Small Village Dataset,127.39166666666667,AGAST+SIFT
22,Small Village Dataset,152.225,AGAST+SIFT
23,Small Village Dataset,118.0,AGAST+SIFT
24,Small Village Dataset,103.99166666666666,AGAST+SIFT
25,Small Village Dataset,106.51666666666667,AGAST+SIFT
26,Small Village Dataset,131.80833333333334,AGAST+SIFT
27,Small Village Dataset,117.225,AGAST+SIFT
28,Small Village Dataset,112.65,AGAST+SIFT
29,Small Village Dataset,196.04166666666666,AGAST+SIFT
30,Small Village Dataset,148.275,AGAST+SIFT
31,Small Village Dataset,114.05833333333334,AGAST+SIFT
32,Small Village Dataset,90.10833333333333,AGAST+SIFT
33,Small Village Dataset,99.28333333333333,AGAST+SIFT
34,Small Village Dataset,92.58333333333333,AGAST+SIFT
35,Small Village Dataset,98.175,AGAST+SIFT
