,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,448.40833333333336,AKAZE
1,MAP Dataset,456.7,AKAZE
2,MAP Dataset,467.03333333333336,AKAZE
3,MAP Dataset,472.125,AKAZE
4,MAP Dataset,449.39166666666665,AKAZE
5,MAP Dataset,462.3,AKAZE
6,MAP Dataset,448.40833333333336,AKAZE
7,MAP Dataset,424.78333333333336,AKAZE
8,MAP Dataset,412.26666666666665,AKAZE
9,MAP Dataset,398.25,AKAZE
10,MAP Dataset,380.59166666666664,AKAZE
11,MAP Dataset,377.26666666666665,AKAZE
12,MAP Dataset,373.1166666666667,AKAZE
13,MAP Dataset,366.93333333333334,AKAZE
14,MAP Dataset,355.06666666666666,AKAZE
15,MAP Dataset,345.8833333333333,AKAZE
16,MAP Dataset,317.60833333333335,AKAZE
17,MAP Dataset,307.09166666666664,AKAZE
18,MAP Dataset,298.1166666666667,AKAZE
19,MAP Dataset,293.1333333333333,AKAZE
20,MAP Dataset,300.05833333333334,AKAZE
21,MAP Dataset,304.05833333333334,AKAZE
22,MAP Dataset,305.8,AKAZE
23,MAP Dataset,286.43333333333334,AKAZE
24,MAP Dataset,280.1666666666667,AKAZE
25,MAP Dataset,290.35,AKAZE
26,MAP Dataset,290.075,AKAZE
27,MAP Dataset,289.525,AKAZE
28,MAP Dataset,290.075,AKAZE
29,MAP Dataset,294.35,AKAZE
30,MAP Dataset,298.19166666666666,AKAZE
31,MAP Dataset,302.51666666666665,AKAZE
32,MAP Dataset,318.95,AKAZE
33,MAP Dataset,327.84166666666664,AKAZE
34,MAP Dataset,341.75,AKAZE
35,MAP Dataset,352.4916666666667,AKAZE
36,MAP Dataset,365.43333333333334,AKAZE
37,MAP Dataset,371.71666666666664,AKAZE
38,MAP Dataset,374.09166666666664,AKAZE
39,MAP Dataset,374.0083333333333,AKAZE
40,MAP Dataset,379.35833333333335,AKAZE
41,MAP Dataset,390.4166666666667,AKAZE
42,MAP Dataset,385.1333333333333,AKAZE
43,MAP Dataset,378.65833333333336,AKAZE
44,MAP Dataset,371.4166666666667,AKAZE
45,MAP Dataset,366.65,AKAZE
46,MAP Dataset,358.375,AKAZE
47,MAP Dataset,358.55833333333334,AKAZE
48,MAP Dataset,355.39166666666665,AKAZE
49,MAP Dataset,342.14166666666665,AKAZE
50,MAP Dataset,322.60833333333335,AKAZE
51,MAP Dataset,320.675,AKAZE
52,MAP Dataset,292.96666666666664,AKAZE
53,MAP Dataset,291.4,AKAZE
54,MAP Dataset,298.15833333333336,AKAZE
55,MAP Dataset,315.9583333333333,AKAZE
56,MAP Dataset,336.975,AKAZE
57,MAP Dataset,359.59166666666664,AKAZE
58,MAP Dataset,366.0416666666667,AKAZE
59,MAP Dataset,327.725,AKAZE
60,MAP Dataset,309.96666666666664,AKAZE
61,MAP Dataset,447.98333333333335,AKAZE
62,MAP Dataset,433.775,AKAZE
63,MAP Dataset,424.6666666666667,AKAZE
64,MAP Dataset,415.35,AKAZE
65,MAP Dataset,399.59166666666664,AKAZE
66,MAP Dataset,384.0083333333333,AKAZE
67,MAP Dataset,371.9916666666667,AKAZE
68,MAP Dataset,353.65,AKAZE
69,MAP Dataset,337.75,AKAZE
70,MAP Dataset,333.175,AKAZE
71,MAP Dataset,314.7083333333333,AKAZE
72,MAP Dataset,302.48333333333335,AKAZE
73,MAP Dataset,294.48333333333335,AKAZE
74,MAP Dataset,295.2,AKAZE
75,MAP Dataset,292.2,AKAZE
76,MAP Dataset,292.1666666666667,AKAZE
77,MAP Dataset,288.2,AKAZE
78,MAP Dataset,270.5083333333333,AKAZE
79,MAP Dataset,257.03333333333336,AKAZE
80,MAP Dataset,252.85833333333332,AKAZE
81,MAP Dataset,271.6,AKAZE
82,MAP Dataset,275.125,AKAZE
83,MAP Dataset,288.925,AKAZE
84,MAP Dataset,300.5,AKAZE
85,MAP Dataset,300.3333333333333,AKAZE
86,MAP Dataset,300.01666666666665,AKAZE
87,MAP Dataset,301.76666666666665,AKAZE
88,MAP Dataset,313.05833333333334,AKAZE
89,MAP Dataset,321.65833333333336,AKAZE
90,MAP Dataset,333.3833333333333,AKAZE
91,MAP Dataset,356.71666666666664,AKAZE
92,MAP Dataset,368.3833333333333,AKAZE
93,MAP Dataset,370.19166666666666,AKAZE
94,MAP Dataset,375.65833333333336,AKAZE
95,MAP Dataset,395.2083333333333,AKAZE
96,MAP Dataset,418.0,AKAZE
97,MAP Dataset,450.21666666666664,AKAZE
98,MAP Dataset,468.45,AKAZE
99,MAP Dataset,494.125,AKAZE
100,MAP Dataset,512.525,AKAZE
101,MAP Dataset,514.8583333333333,AKAZE
102,MAP Dataset,479.78333333333336,AKAZE
103,MAP Dataset,467.55833333333334,AKAZE
104,MAP Dataset,464.8,AKAZE
105,MAP Dataset,440.0416666666667,AKAZE
106,MAP Dataset,415.19166666666666,AKAZE
107,MAP Dataset,401.0083333333333,AKAZE
108,MAP Dataset,386.7916666666667,AKAZE
109,MAP Dataset,358.3833333333333,AKAZE
110,MAP Dataset,255.35833333333332,AKAZE
111,MAP Dataset,264.125,AKAZE
112,MAP Dataset,316.7,AKAZE
113,MAP Dataset,350.2416666666667,AKAZE
114,MAP Dataset,351.64166666666665,AKAZE
115,MAP Dataset,366.775,AKAZE
116,MAP Dataset,390.15833333333336,AKAZE
117,MAP Dataset,418.65833333333336,AKAZE
118,MAP Dataset,419.85833333333335,AKAZE
119,MAP Dataset,445.48333333333335,AKAZE
120,MAP Dataset,879.1666666666666,BRISK
121,MAP Dataset,906.7666666666667,BRISK
122,MAP Dataset,921.05,BRISK
123,MAP Dataset,962.5166666666667,BRISK
124,MAP Dataset,967.375,BRISK
125,MAP Dataset,1006.7,BRISK
126,MAP Dataset,850.8666666666667,BRISK
127,MAP Dataset,834.1833333333333,BRISK
128,MAP Dataset,756.7583333333333,BRISK
129,MAP Dataset,705.3083333333333,BRISK
130,MAP Dataset,696.8083333333333,BRISK
131,MAP Dataset,644.8666666666667,BRISK
132,MAP Dataset,660.175,BRISK
133,MAP Dataset,616.2,BRISK
134,MAP Dataset,592.175,BRISK
135,MAP Dataset,569.2833333333333,BRISK
136,MAP Dataset,527.575,BRISK
137,MAP Dataset,475.89166666666665,BRISK
138,MAP Dataset,476.5833333333333,BRISK
139,MAP Dataset,440.9166666666667,BRISK
140,MAP Dataset,453.64166666666665,BRISK
141,MAP Dataset,455.575,BRISK
142,MAP Dataset,470.1166666666667,BRISK
143,MAP Dataset,434.34166666666664,BRISK
144,MAP Dataset,487.01666666666665,BRISK
145,MAP Dataset,509.925,BRISK
146,MAP Dataset,512.425,BRISK
147,MAP Dataset,430.51666666666665,BRISK
148,MAP Dataset,433.625,BRISK
149,MAP Dataset,468.6333333333333,BRISK
150,MAP Dataset,434.90833333333336,BRISK
151,MAP Dataset,439.175,BRISK
152,MAP Dataset,498.96666666666664,BRISK
153,MAP Dataset,509.76666666666665,BRISK
154,MAP Dataset,553.2666666666667,BRISK
155,MAP Dataset,606.5,BRISK
156,MAP Dataset,619.9083333333333,BRISK
157,MAP Dataset,639.7,BRISK
158,MAP Dataset,695.9083333333333,BRISK
159,MAP Dataset,654.2666666666667,BRISK
160,MAP Dataset,798.675,BRISK
161,MAP Dataset,815.8166666666667,BRISK
162,MAP Dataset,731.9833333333333,BRISK
163,MAP Dataset,692.625,BRISK
164,MAP Dataset,653.0583333333333,BRISK
165,MAP Dataset,610.6583333333333,BRISK
166,MAP Dataset,596.6,BRISK
167,MAP Dataset,590.7083333333334,BRISK
168,MAP Dataset,607.725,BRISK
169,MAP Dataset,576.3583333333333,BRISK
170,MAP Dataset,556.7333333333333,BRISK
171,MAP Dataset,657.55,BRISK
172,MAP Dataset,597.4916666666667,BRISK
173,MAP Dataset,595.5583333333333,BRISK
174,MAP Dataset,473.73333333333335,BRISK
175,MAP Dataset,532.3333333333334,BRISK
176,MAP Dataset,541.5916666666667,BRISK
177,MAP Dataset,584.45,BRISK
178,MAP Dataset,679.15,BRISK
179,MAP Dataset,608.85,BRISK
180,MAP Dataset,577.1,BRISK
181,MAP Dataset,893.7333333333333,BRISK
182,MAP Dataset,806.6333333333333,BRISK
183,MAP Dataset,785.5166666666667,BRISK
184,MAP Dataset,680.4583333333334,BRISK
185,MAP Dataset,740.3333333333334,BRISK
186,MAP Dataset,677.5833333333334,BRISK
187,MAP Dataset,631.8,BRISK
188,MAP Dataset,594.0,BRISK
189,MAP Dataset,553.9666666666667,BRISK
190,MAP Dataset,553.4666666666667,BRISK
191,MAP Dataset,484.35,BRISK
192,MAP Dataset,456.9916666666667,BRISK
193,MAP Dataset,426.7,BRISK
194,MAP Dataset,422.575,BRISK
195,MAP Dataset,404.625,BRISK
196,MAP Dataset,408.15833333333336,BRISK
197,MAP Dataset,418.5083333333333,BRISK
198,MAP Dataset,359.5083333333333,BRISK
199,MAP Dataset,378.725,BRISK
200,MAP Dataset,395.1666666666667,BRISK
201,MAP Dataset,438.475,BRISK
202,MAP Dataset,374.19166666666666,BRISK
203,MAP Dataset,372.18333333333334,BRISK
204,MAP Dataset,381.55833333333334,BRISK
205,MAP Dataset,384.35833333333335,BRISK
206,MAP Dataset,400.14166666666665,BRISK
207,MAP Dataset,417.48333333333335,BRISK
208,MAP Dataset,463.325,BRISK
209,MAP Dataset,515.2833333333333,BRISK
210,MAP Dataset,541.1583333333333,BRISK
211,MAP Dataset,591.4166666666666,BRISK
212,MAP Dataset,609.5083333333333,BRISK
213,MAP Dataset,592.9666666666667,BRISK
214,MAP Dataset,646.9416666666667,BRISK
215,MAP Dataset,689.9666666666667,BRISK
216,MAP Dataset,761.4,BRISK
217,MAP Dataset,843.2666666666667,BRISK
218,MAP Dataset,876.3166666666667,BRISK
219,MAP Dataset,1030.2083333333333,BRISK
220,MAP Dataset,1061.675,BRISK
221,MAP Dataset,1029.2166666666667,BRISK
222,MAP Dataset,1001.25,BRISK
223,MAP Dataset,953.5833333333334,BRISK
224,MAP Dataset,986.8166666666667,BRISK
225,MAP Dataset,939.7333333333333,BRISK
226,MAP Dataset,928.8083333333333,BRISK
227,MAP Dataset,905.675,BRISK
228,MAP Dataset,841.05,BRISK
229,MAP Dataset,825.45,BRISK
230,MAP Dataset,530.275,BRISK
231,MAP Dataset,499.93333333333334,BRISK
232,MAP Dataset,650.125,BRISK
233,MAP Dataset,783.8666666666667,BRISK
234,MAP Dataset,701.9916666666667,BRISK
235,MAP Dataset,727.1,BRISK
236,MAP Dataset,754.8583333333333,BRISK
237,MAP Dataset,853.2083333333334,BRISK
238,MAP Dataset,840.4083333333333,BRISK
239,MAP Dataset,901.2416666666667,BRISK
240,MAP Dataset,845.775,BRISK+FREAK
241,MAP Dataset,873.2083333333334,BRISK+FREAK
242,MAP Dataset,888.325,BRISK+FREAK
243,MAP Dataset,928.5333333333333,BRISK+FREAK
244,MAP Dataset,933.275,BRISK+FREAK
245,MAP Dataset,965.2083333333334,BRISK+FREAK
246,MAP Dataset,813.9416666666667,BRISK+FREAK
247,MAP Dataset,799.125,BRISK+FREAK
248,MAP Dataset,726.7583333333333,BRISK+FREAK
249,MAP Dataset,676.5916666666667,BRISK+FREAK
250,MAP Dataset,670.775,BRISK+FREAK
251,MAP Dataset,620.0,BRISK+FREAK
252,MAP Dataset,635.725,BRISK+FREAK
253,MAP Dataset,592.4666666666667,BRISK+FREAK
254,MAP Dataset,571.3,BRISK+FREAK
255,MAP Dataset,549.4833333333333,BRISK+FREAK
256,MAP Dataset,509.5083333333333,BRISK+FREAK
257,MAP Dataset,458.90833333333336,BRISK+FREAK
258,MAP Dataset,459.5,BRISK+FREAK
259,MAP Dataset,425.53333333333336,BRISK+FREAK
260,MAP Dataset,437.0833333333333,BRISK+FREAK
261,MAP Dataset,438.4916666666667,BRISK+FREAK
262,MAP Dataset,453.51666666666665,BRISK+FREAK
263,MAP Dataset,420.325,BRISK+FREAK
264,MAP Dataset,468.51666666666665,BRISK+FREAK
265,MAP Dataset,492.89166666666665,BRISK+FREAK
266,MAP Dataset,495.89166666666665,BRISK+FREAK
267,MAP Dataset,414.125,BRISK+FREAK
268,MAP Dataset,419.65833333333336,BRISK+FREAK
269,MAP Dataset,451.7,BRISK+FREAK
270,MAP Dataset,417.7416666666667,BRISK+FREAK
271,MAP Dataset,423.5083333333333,BRISK+FREAK
272,MAP Dataset,480.2916666666667,BRISK+FREAK
273,MAP Dataset,490.2416666666667,BRISK+FREAK
274,MAP Dataset,530.075,BRISK+FREAK
275,MAP Dataset,583.3583333333333,BRISK+FREAK
276,MAP Dataset,595.4916666666667,BRISK+FREAK
277,MAP Dataset,611.9833333333333,BRISK+FREAK
278,MAP Dataset,667.9333333333333,BRISK+FREAK
279,MAP Dataset,629.2666666666667,BRISK+FREAK
280,MAP Dataset,767.725,BRISK+FREAK
281,MAP Dataset,788.8166666666667,BRISK+FREAK
282,MAP Dataset,707.3083333333333,BRISK+FREAK
283,MAP Dataset,667.3916666666667,BRISK+FREAK
284,MAP Dataset,629.4583333333334,BRISK+FREAK
285,MAP Dataset,589.1416666666667,BRISK+FREAK
286,MAP Dataset,577.0916666666667,BRISK+FREAK
287,MAP Dataset,569.0666666666667,BRISK+FREAK
288,MAP Dataset,586.35,BRISK+FREAK
289,MAP Dataset,555.2166666666667,BRISK+FREAK
290,MAP Dataset,535.925,BRISK+FREAK
291,MAP Dataset,633.025,BRISK+FREAK
292,MAP Dataset,576.0583333333333,BRISK+FREAK
293,MAP Dataset,574.0083333333333,BRISK+FREAK
294,MAP Dataset,459.1166666666667,BRISK+FREAK
295,MAP Dataset,514.7583333333333,BRISK+FREAK
