,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,250.51666666666668,BRISK
1,Small Village Dataset,284.9916666666667,BRISK
2,Small Village Dataset,291.68333333333334,BRISK
3,Small Village Dataset,251.46666666666667,BRISK
4,Small Village Dataset,250.775,BRISK
5,Small Village Dataset,270.48333333333335,BRISK
6,Small Village Dataset,334.7,BRISK
7,Small Village Dataset,310.43333333333334,BRISK
8,Small Village Dataset,247.89166666666668,BRISK
9,Small Village Dataset,254.65,BRISK
10,Small Village Dataset,267.10833333333335,BRISK
11,Small Village Dataset,269.84166666666664,BRISK
12,Small Village Dataset,270.8,BRISK
13,Small Village Dataset,455.48333333333335,BRISK
14,Small Village Dataset,723.675,BRISK
15,Small Village Dataset,383.075,BRISK
16,Small Village Dataset,277.93333333333334,BRISK
17,Small Village Dataset,268.775,BRISK
18,Small Village Dataset,306.31666666666666,BRISK
19,Small Village Dataset,270.76666666666665,BRISK
20,Small Village Dataset,303.26666666666665,BRISK
21,Small Village Dataset,356.44166666666666,BRISK
22,Small Village Dataset,444.225,BRISK
23,Small Village Dataset,321.8666666666667,BRISK
24,Small Village Dataset,233.28333333333333,BRISK
25,Small Village Dataset,231.78333333333333,BRISK
26,Small Village Dataset,290.0083333333333,BRISK
27,Small Village Dataset,288.925,BRISK
28,Small Village Dataset,367.025,BRISK
29,Small Village Dataset,548.025,BRISK
30,Small Village Dataset,429.84166666666664,BRISK
31,Small Village Dataset,290.65833333333336,BRISK
32,Small Village Dataset,204.59166666666667,BRISK
33,Small Village Dataset,219.25833333333333,BRISK
34,Small Village Dataset,232.53333333333333,BRISK
35,Small Village Dataset,270.65,BRISK
36,Small Village Dataset,362.875,BRISK
37,Small Village Dataset,453.825,BRISK
38,Small Village Dataset,315.725,BRISK
39,Small Village Dataset,225.13333333333333,BRISK
40,Small Village Dataset,128.29166666666666,BRISK
41,Small Village Dataset,154.025,BRISK
42,Small Village Dataset,208.88333333333333,BRISK
43,Small Village Dataset,333.21666666666664,BRISK
44,Small Village Dataset,515.2833333333333,BRISK
45,Small Village Dataset,793.6416666666667,BRISK
46,Small Village Dataset,506.90833333333336,BRISK
47,Small Village Dataset,309.0083333333333,BRISK
48,Small Village Dataset,227.6,BRISK
49,Small Village Dataset,131.14166666666668,BRISK
50,Small Village Dataset,206.175,BRISK
51,Small Village Dataset,270.6166666666667,BRISK
52,Small Village Dataset,387.18333333333334,BRISK
53,Small Village Dataset,480.06666666666666,BRISK
54,Small Village Dataset,468.9916666666667,BRISK
55,Small Village Dataset,332.71666666666664,BRISK
56,Small Village Dataset,254.88333333333333,BRISK
57,Small Village Dataset,212.76666666666668,BRISK
58,Small Village Dataset,179.70833333333334,BRISK
59,Small Village Dataset,395.5083333333333,BRISK
60,Small Village Dataset,578.775,BRISK
61,Small Village Dataset,359.0,BRISK
62,Small Village Dataset,504.31666666666666,BRISK
63,Small Village Dataset,338.7083333333333,BRISK
64,Small Village Dataset,290.1333333333333,BRISK
65,Small Village Dataset,282.55,BRISK
66,Small Village Dataset,285.8833333333333,BRISK
67,Small Village Dataset,255.44166666666666,BRISK
68,Small Village Dataset,220.11666666666667,BRISK
69,Small Village Dataset,190.91666666666666,BRISK
70,Small Village Dataset,190.35833333333332,BRISK
71,Small Village Dataset,193.46666666666667,BRISK
72,Small Village Dataset,254.23333333333332,BRISK
73,Small Village Dataset,275.55833333333334,BRISK
74,Small Village Dataset,290.175,BRISK
75,Small Village Dataset,282.43333333333334,BRISK
76,Small Village Dataset,232.74166666666667,BRISK
77,Small Village Dataset,282.1166666666667,BRISK
78,Small Village Dataset,342.85,BRISK
79,Small Village Dataset,275.46666666666664,BRISK
80,Small Village Dataset,232.875,BRISK
81,Small Village Dataset,327.3333333333333,BRISK
82,Small Village Dataset,291.8333333333333,BRISK
83,Small Village Dataset,251.50833333333333,BRISK
84,Small Village Dataset,231.34166666666667,BRISK
85,Small Village Dataset,170.34166666666667,BRISK
86,Small Village Dataset,79.03333333333333,BRISK
87,Small Village Dataset,130.575,BRISK
88,Small Village Dataset,284.2416666666667,BRISK
89,Small Village Dataset,341.1166666666667,BRISK
90,Small Village Dataset,327.975,BRISK
91,Small Village Dataset,322.125,BRISK
92,Small Village Dataset,249.58333333333334,BRISK
93,Small Village Dataset,211.9,BRISK
94,Small Village Dataset,395.5083333333333,BRISK
95,Small Village Dataset,317.69166666666666,BRISK
96,Small Village Dataset,265.1,BRISK
97,Small Village Dataset,312.46666666666664,BRISK
98,Small Village Dataset,336.525,BRISK
99,Small Village Dataset,302.64166666666665,BRISK
100,Small Village Dataset,294.6666666666667,BRISK
101,Small Village Dataset,205.4,BRISK
102,Small Village Dataset,7.991666666666666,BRISK
103,Small Village Dataset,168.60833333333332,BRISK
104,Small Village Dataset,300.06666666666666,BRISK
105,Small Village Dataset,351.45,BRISK
106,Small Village Dataset,310.06666666666666,BRISK
107,Small Village Dataset,280.975,BRISK
108,Small Village Dataset,263.9166666666667,BRISK
109,Small Village Dataset,189.50833333333333,BRISK
110,Small Village Dataset,325.80833333333334,BRISK
111,Small Village Dataset,182.725,BRISK
112,Small Village Dataset,285.56666666666666,BRISK
113,Small Village Dataset,292.6666666666667,BRISK
114,Small Village Dataset,303.64166666666665,BRISK
115,Small Village Dataset,285.6333333333333,BRISK
116,Small Village Dataset,260.05,BRISK
117,Small Village Dataset,197.75833333333333,BRISK
118,Small Village Dataset,81.74166666666666,BRISK
119,Small Village Dataset,145.28333333333333,BRISK
120,Small Village Dataset,278.625,DAISY+SIFT
121,Small Village Dataset,246.05,DAISY+SIFT
122,Small Village Dataset,221.9,DAISY+SIFT
123,Small Village Dataset,219.63333333333333,DAISY+SIFT
124,Small Village Dataset,249.03333333333333,DAISY+SIFT
125,Small Village Dataset,367.45,DAISY+SIFT
126,Small Village Dataset,367.5,DAISY+SIFT
127,Small Village Dataset,324.03333333333336,DAISY+SIFT
128,Small Village Dataset,248.03333333333333,DAISY+SIFT
129,Small Village Dataset,222.66666666666666,DAISY+SIFT
130,Small Village Dataset,246.25833333333333,DAISY+SIFT
