,Dataset,Number of Keypoints,Detector/Descriptor
0,MAP Dataset,197.21666666666667,AKAZE
1,MAP Dataset,204.01666666666668,AKAZE
2,MAP Dataset,212.725,AKAZE
3,MAP Dataset,217.525,AKAZE
4,MAP Dataset,207.41666666666666,AKAZE
5,MAP Dataset,197.89166666666668,AKAZE
6,MAP Dataset,191.275,AKAZE
7,MAP Dataset,178.7,AKAZE
8,MAP Dataset,173.8,AKAZE
9,MAP Dataset,166.56666666666666,AKAZE
10,MAP Dataset,157.19166666666666,AKAZE
11,MAP Dataset,155.70833333333334,AKAZE
12,MAP Dataset,154.86666666666667,AKAZE
13,MAP Dataset,154.05,AKAZE
14,MAP Dataset,151.9,AKAZE
15,MAP Dataset,148.86666666666667,AKAZE
16,MAP Dataset,135.4,AKAZE
17,MAP Dataset,128.725,AKAZE
18,MAP Dataset,124.13333333333334,AKAZE
19,MAP Dataset,122.575,AKAZE
20,MAP Dataset,126.49166666666666,AKAZE
21,MAP Dataset,130.025,AKAZE
22,MAP Dataset,129.56666666666666,AKAZE
23,MAP Dataset,123.39166666666667,AKAZE
24,MAP Dataset,119.25,AKAZE
25,MAP Dataset,119.7,AKAZE
26,MAP Dataset,119.04166666666667,AKAZE
27,MAP Dataset,119.76666666666667,AKAZE
28,MAP Dataset,118.61666666666666,AKAZE
29,MAP Dataset,120.19166666666666,AKAZE
30,MAP Dataset,123.74166666666666,AKAZE
31,MAP Dataset,127.78333333333333,AKAZE
32,MAP Dataset,135.34166666666667,AKAZE
33,MAP Dataset,141.575,AKAZE
34,MAP Dataset,148.525,AKAZE
35,MAP Dataset,150.15833333333333,AKAZE
36,MAP Dataset,154.225,AKAZE
37,MAP Dataset,156.71666666666667,AKAZE
38,MAP Dataset,155.11666666666667,AKAZE
39,MAP Dataset,155.63333333333333,AKAZE
40,MAP Dataset,155.43333333333334,AKAZE
41,MAP Dataset,168.71666666666667,AKAZE
42,MAP Dataset,167.875,AKAZE
43,MAP Dataset,165.65,AKAZE
44,MAP Dataset,163.975,AKAZE
45,MAP Dataset,161.2,AKAZE
46,MAP Dataset,156.45833333333334,AKAZE
47,MAP Dataset,152.175,AKAZE
48,MAP Dataset,147.925,AKAZE
49,MAP Dataset,141.26666666666668,AKAZE
50,MAP Dataset,132.14166666666668,AKAZE
51,MAP Dataset,127.575,AKAZE
52,MAP Dataset,115.9,AKAZE
53,MAP Dataset,115.925,AKAZE
54,MAP Dataset,121.725,AKAZE
55,MAP Dataset,133.43333333333334,AKAZE
56,MAP Dataset,146.675,AKAZE
57,MAP Dataset,158.75,AKAZE
58,MAP Dataset,160.575,AKAZE
59,MAP Dataset,142.90833333333333,AKAZE
60,MAP Dataset,133.725,AKAZE
61,MAP Dataset,193.65833333333333,AKAZE
62,MAP Dataset,185.15833333333333,AKAZE
63,MAP Dataset,179.53333333333333,AKAZE
64,MAP Dataset,177.93333333333334,AKAZE
65,MAP Dataset,166.89166666666668,AKAZE
66,MAP Dataset,158.25,AKAZE
67,MAP Dataset,155.05,AKAZE
68,MAP Dataset,147.075,AKAZE
69,MAP Dataset,138.21666666666667,AKAZE
70,MAP Dataset,136.3,AKAZE
71,MAP Dataset,128.49166666666667,AKAZE
72,MAP Dataset,122.99166666666666,AKAZE
73,MAP Dataset,122.56666666666666,AKAZE
74,MAP Dataset,125.3,AKAZE
75,MAP Dataset,124.89166666666667,AKAZE
76,MAP Dataset,127.40833333333333,AKAZE
77,MAP Dataset,126.48333333333333,AKAZE
78,MAP Dataset,117.875,AKAZE
79,MAP Dataset,110.375,AKAZE
80,MAP Dataset,108.13333333333334,AKAZE
81,MAP Dataset,116.41666666666667,AKAZE
82,MAP Dataset,119.29166666666667,AKAZE
83,MAP Dataset,128.80833333333334,AKAZE
84,MAP Dataset,133.81666666666666,AKAZE
85,MAP Dataset,131.23333333333332,AKAZE
86,MAP Dataset,131.325,AKAZE
87,MAP Dataset,131.09166666666667,AKAZE
88,MAP Dataset,134.40833333333333,AKAZE
89,MAP Dataset,136.025,AKAZE
90,MAP Dataset,140.08333333333334,AKAZE
91,MAP Dataset,146.325,AKAZE
92,MAP Dataset,150.60833333333332,AKAZE
93,MAP Dataset,151.55,AKAZE
94,MAP Dataset,153.25833333333333,AKAZE
95,MAP Dataset,165.20833333333334,AKAZE
96,MAP Dataset,177.38333333333333,AKAZE
97,MAP Dataset,194.5,AKAZE
98,MAP Dataset,206.66666666666666,AKAZE
99,MAP Dataset,217.66666666666666,AKAZE
100,MAP Dataset,227.49166666666667,AKAZE
101,MAP Dataset,229.98333333333332,AKAZE
102,MAP Dataset,217.51666666666668,AKAZE
103,MAP Dataset,213.2,AKAZE
104,MAP Dataset,214.225,AKAZE
105,MAP Dataset,203.85833333333332,AKAZE
106,MAP Dataset,191.775,AKAZE
107,MAP Dataset,184.175,AKAZE
108,MAP Dataset,179.325,AKAZE
109,MAP Dataset,167.225,AKAZE
110,MAP Dataset,115.95833333333333,AKAZE
111,MAP Dataset,118.73333333333333,AKAZE
112,MAP Dataset,140.30833333333334,AKAZE
113,MAP Dataset,153.89166666666668,AKAZE
114,MAP Dataset,157.66666666666666,AKAZE
115,MAP Dataset,166.06666666666666,AKAZE
116,MAP Dataset,179.25,AKAZE
117,MAP Dataset,192.09166666666667,AKAZE
118,MAP Dataset,193.51666666666668,AKAZE
119,MAP Dataset,202.43333333333334,AKAZE
120,MAP Dataset,449.6333333333333,BRISK
121,MAP Dataset,463.975,BRISK
122,MAP Dataset,477.94166666666666,BRISK
