,Dataset,Number of Keypoints,Detector/Descriptor
0,Small Village Dataset,162.83333333333334,BRISK
1,Small Village Dataset,194.68333333333334,BRISK
2,Small Village Dataset,198.1,BRISK
3,Small Village Dataset,171.075,BRISK
4,Small Village Dataset,168.55,BRISK
5,Small Village Dataset,168.96666666666667,BRISK
6,Small Village Dataset,187.76666666666668,BRISK
7,Small Village Dataset,181.325,BRISK
8,Small Village Dataset,160.50833333333333,BRISK
9,Small Village Dataset,177.28333333333333,BRISK
10,Small Village Dataset,186.75833333333333,BRISK
11,Small Village Dataset,180.11666666666667,BRISK
12,Small Village Dataset,176.34166666666667,BRISK
13,Small Village Dataset,243.55833333333334,BRISK
14,Small Village Dataset,357.7,BRISK
15,Small Village Dataset,205.375,BRISK
16,Small Village Dataset,166.10833333333332,BRISK
17,Small Village Dataset,175.475,BRISK
18,Small Village Dataset,204.225,BRISK
19,Small Village Dataset,181.40833333333333,BRISK
20,Small Village Dataset,191.51666666666668,BRISK
21,Small Village Dataset,198.06666666666666,BRISK
22,Small Village Dataset,235.51666666666668,BRISK
23,Small Village Dataset,178.65833333333333,BRISK
24,Small Village Dataset,152.78333333333333,BRISK
25,Small Village Dataset,156.73333333333332,BRISK
26,Small Village Dataset,186.03333333333333,BRISK
27,Small Village Dataset,180.81666666666666,BRISK
28,Small Village Dataset,198.41666666666666,BRISK
29,Small Village Dataset,302.3833333333333,BRISK
30,Small Village Dataset,230.475,BRISK
31,Small Village Dataset,175.84166666666667,BRISK
32,Small Village Dataset,136.36666666666667,BRISK
33,Small Village Dataset,146.61666666666667,BRISK
34,Small Village Dataset,144.03333333333333,BRISK
35,Small Village Dataset,154.59166666666667,BRISK
36,Small Village Dataset,191.20833333333334,BRISK
37,Small Village Dataset,225.45833333333334,BRISK
38,Small Village Dataset,153.83333333333334,BRISK
39,Small Village Dataset,119.11666666666666,BRISK
40,Small Village Dataset,77.21666666666667,BRISK
41,Small Village Dataset,101.575,BRISK
42,Small Village Dataset,131.85,BRISK
43,Small Village Dataset,190.46666666666667,BRISK
44,Small Village Dataset,277.0833333333333,BRISK
45,Small Village Dataset,402.68333333333334,BRISK
46,Small Village Dataset,259.575,BRISK
47,Small Village Dataset,165.69166666666666,BRISK
48,Small Village Dataset,133.51666666666668,BRISK
49,Small Village Dataset,82.68333333333334,BRISK
50,Small Village Dataset,104.23333333333333,BRISK
51,Small Village Dataset,133.70833333333334,BRISK
52,Small Village Dataset,187.48333333333332,BRISK
53,Small Village Dataset,229.475,BRISK
54,Small Village Dataset,216.73333333333332,BRISK
55,Small Village Dataset,154.15,BRISK
56,Small Village Dataset,123.86666666666666,BRISK
57,Small Village Dataset,115.96666666666667,BRISK
58,Small Village Dataset,100.65833333333333,BRISK
59,Small Village Dataset,189.28333333333333,BRISK
60,Small Village Dataset,278.6,BRISK
61,Small Village Dataset,197.25833333333333,BRISK
62,Small Village Dataset,259.3833333333333,BRISK
63,Small Village Dataset,187.31666666666666,BRISK
64,Small Village Dataset,181.11666666666667,BRISK
65,Small Village Dataset,191.61666666666667,BRISK
66,Small Village Dataset,197.13333333333333,BRISK
67,Small Village Dataset,177.11666666666667,BRISK
68,Small Village Dataset,152.9,BRISK
69,Small Village Dataset,128.21666666666667,BRISK
